,group_id,original_img,edge_img,group_order,column
0,0,image_group_0_frame_18.0.jpg,image_group_0_frame_18.0-edges.jpg,0,left_most_index
1,0,image_group_0_frame_22.0.jpg,image_group_0_frame_22.0-edges.jpg,1,left_most_index
2,0,image_group_0_frame_24.0.jpg,image_group_0_frame_24.0-edges.jpg,0,right_most_index
3,0,image_group_0_frame_19.0.jpg,image_group_0_frame_19.0-edges.jpg,1,right_most_index
0,1,image_group_1_frame_69.0.jpg,image_group_1_frame_69.0-edges.jpg,0,left_most_index
1,1,image_group_1_frame_78.0.jpg,image_group_1_frame_78.0-edges.jpg,1,left_most_index
2,1,image_group_1_frame_75.0.jpg,image_group_1_frame_75.0-edges.jpg,0,right_most_index
3,1,image_group_1_frame_70.0.jpg,image_group_1_frame_70.0-edges.jpg,1,right_most_index
0,2,image_group_2_frame_125.0.jpg,image_group_2_frame_125.0-edges.jpg,0,left_most_index
1,2,image_group_2_frame_130.0.jpg,image_group_2_frame_130.0-edges.jpg,1,left_most_index
2,2,image_group_2_frame_131.0.jpg,image_group_2_frame_131.0-edges.jpg,0,right_most_index
3,2,image_group_2_frame_126.0.jpg,image_group_2_frame_126.0-edges.jpg,1,right_most_index
0,3,image_group_3_frame_176.0.jpg,image_group_3_frame_176.0-edges.jpg,0,left_most_index
1,3,image_group_3_frame_185.0.jpg,image_group_3_frame_185.0-edges.jpg,1,left_most_index
2,3,image_group_3_frame_182.0.jpg,image_group_3_frame_182.0-edges.jpg,0,right_most_index
3,3,image_group_3_frame_187.0.jpg,image_group_3_frame_187.0-edges.jpg,1,right_most_index
0,4,image_group_4_frame_378.0.jpg,image_group_4_frame_378.0-edges.jpg,0,left_most_index
1,4,image_group_4_frame_374.0.jpg,image_group_4_frame_374.0-edges.jpg,1,left_most_index
2,4,image_group_4_frame_375.0.jpg,image_group_4_frame_375.0-edges.jpg,0,right_most_index
3,4,image_group_4_frame_371.0.jpg,image_group_4_frame_371.0-edges.jpg,1,right_most_index
0,5,image_group_5_frame_425.0.jpg,image_group_5_frame_425.0-edges.jpg,0,left_most_index
1,5,image_group_5_frame_429.0.jpg,image_group_5_frame_429.0-edges.jpg,1,left_most_index
2,5,image_group_5_frame_434.0.jpg,image_group_5_frame_434.0-edges.jpg,0,right_most_index
3,5,image_group_5_frame_430.0.jpg,image_group_5_frame_430.0-edges.jpg,1,right_most_index
0,6,image_group_6_frame_480.0.jpg,image_group_6_frame_480.0-edges.jpg,0,left_most_index
1,6,image_group_6_frame_484.0.jpg,image_group_6_frame_484.0-edges.jpg,1,left_most_index
2,6,image_group_6_frame_489.0.jpg,image_group_6_frame_489.0-edges.jpg,0,right_most_index
3,6,image_group_6_frame_485.0.jpg,image_group_6_frame_485.0-edges.jpg,1,right_most_index
0,7,image_group_7_frame_535.0.jpg,image_group_7_frame_535.0-edges.jpg,0,left_most_index
1,7,image_group_7_frame_539.0.jpg,image_group_7_frame_539.0-edges.jpg,1,left_most_index
2,7,image_group_7_frame_540.0.jpg,image_group_7_frame_540.0-edges.jpg,0,right_most_index
3,7,image_group_7_frame_536.0.jpg,image_group_7_frame_536.0-edges.jpg,1,right_most_index
0,8,image_group_8_frame_784.0.jpg,image_group_8_frame_784.0-edges.jpg,0,left_most_index
1,8,image_group_8_frame_791.0.jpg,image_group_8_frame_791.0-edges.jpg,1,left_most_index
2,8,image_group_8_frame_792.0.jpg,image_group_8_frame_792.0-edges.jpg,0,right_most_index
3,8,image_group_8_frame_789.0.jpg,image_group_8_frame_789.0-edges.jpg,1,right_most_index
0,9,image_group_9_frame_835.0.jpg,image_group_9_frame_835.0-edges.jpg,0,left_most_index
1,9,image_group_9_frame_838.0.jpg,image_group_9_frame_838.0-edges.jpg,1,left_most_index
2,9,image_group_9_frame_846.0.jpg,image_group_9_frame_846.0-edges.jpg,0,right_most_index
3,9,image_group_9_frame_843.0.jpg,image_group_9_frame_843.0-edges.jpg,1,right_most_index
0,10,image_group_10_frame_892.0.jpg,image_group_10_frame_892.0-edges.jpg,0,left_most_index
1,10,image_group_10_frame_899.0.jpg,image_group_10_frame_899.0-edges.jpg,1,left_most_index
2,10,image_group_10_frame_900.0.jpg,image_group_10_frame_900.0-edges.jpg,0,right_most_index
3,10,image_group_10_frame_893.0.jpg,image_group_10_frame_893.0-edges.jpg,1,right_most_index
0,11,image_group_11_frame_946.0.jpg,image_group_11_frame_946.0-edges.jpg,0,left_most_index
1,11,image_group_11_frame_949.0.jpg,image_group_11_frame_949.0-edges.jpg,1,left_most_index
2,11,image_group_11_frame_954.0.jpg,image_group_11_frame_954.0-edges.jpg,0,right_most_index
3,11,image_group_11_frame_947.0.jpg,image_group_11_frame_947.0-edges.jpg,1,right_most_index
0,12,image_group_12_frame_1156.0.jpg,image_group_12_frame_1156.0-edges.jpg,0,left_most_index
1,12,image_group_12_frame_1159.0.jpg,image_group_12_frame_1159.0-edges.jpg,1,left_most_index
2,12,image_group_12_frame_1166.0.jpg,image_group_12_frame_1166.0-edges.jpg,0,right_most_index
3,12,image_group_12_frame_1163.0.jpg,image_group_12_frame_1163.0-edges.jpg,1,right_most_index
0,13,image_group_13_frame_1209.0.jpg,image_group_13_frame_1209.0-edges.jpg,0,left_most_index
1,13,image_group_13_frame_1212.0.jpg,image_group_13_frame_1212.0-edges.jpg,1,left_most_index
2,13,image_group_13_frame_1219.0.jpg,image_group_13_frame_1219.0-edges.jpg,0,right_most_index
3,13,image_group_13_frame_1216.0.jpg,image_group_13_frame_1216.0-edges.jpg,1,right_most_index
0,14,image_group_14_frame_1265.0.jpg,image_group_14_frame_1265.0-edges.jpg,0,left_most_index
1,14,image_group_14_frame_1268.0.jpg,image_group_14_frame_1268.0-edges.jpg,1,left_most_index
2,14,image_group_14_frame_1272.0.jpg,image_group_14_frame_1272.0-edges.jpg,0,right_most_index
3,14,image_group_14_frame_1269.0.jpg,image_group_14_frame_1269.0-edges.jpg,1,right_most_index
0,15,image_group_15_frame_1321.0.jpg,image_group_15_frame_1321.0-edges.jpg,0,left_most_index
1,15,image_group_15_frame_1327.0.jpg,image_group_15_frame_1327.0-edges.jpg,1,left_most_index
2,15,image_group_15_frame_1328.0.jpg,image_group_15_frame_1328.0-edges.jpg,0,right_most_index
3,15,image_group_15_frame_1322.0.jpg,image_group_15_frame_1322.0-edges.jpg,1,right_most_index
0,16,image_group_16_frame_1566.0.jpg,image_group_16_frame_1566.0-edges.jpg,0,left_most_index
1,16,image_group_16_frame_1569.0.jpg,image_group_16_frame_1569.0-edges.jpg,1,left_most_index
