,group_id,original_img,edge_img,group_order,column
0,0,image_group_0_frame_152.0.jpg,image_group_0_frame_152.0-edges.jpg,0,left_most_index
1,0,image_group_0_frame_157.0.jpg,image_group_0_frame_157.0-edges.jpg,1,left_most_index
2,0,image_group_0_frame_159.0.jpg,image_group_0_frame_159.0-edges.jpg,0,right_most_index
3,0,image_group_0_frame_154.0.jpg,image_group_0_frame_154.0-edges.jpg,1,right_most_index
0,1,image_group_1_frame_204.0.jpg,image_group_1_frame_204.0-edges.jpg,0,left_most_index
1,1,image_group_1_frame_209.0.jpg,image_group_1_frame_209.0-edges.jpg,1,left_most_index
2,1,image_group_1_frame_211.0.jpg,image_group_1_frame_211.0-edges.jpg,0,right_most_index
3,1,image_group_1_frame_206.0.jpg,image_group_1_frame_206.0-edges.jpg,1,right_most_index
0,2,image_group_2_frame_260.0.jpg,image_group_2_frame_260.0-edges.jpg,0,left_most_index
1,2,image_group_2_frame_265.0.jpg,image_group_2_frame_265.0-edges.jpg,1,left_most_index
2,2,image_group_2_frame_267.0.jpg,image_group_2_frame_267.0-edges.jpg,0,right_most_index
3,2,image_group_2_frame_262.0.jpg,image_group_2_frame_262.0-edges.jpg,1,right_most_index
0,3,image_group_3_frame_311.0.jpg,image_group_3_frame_311.0-edges.jpg,0,left_most_index
1,3,image_group_3_frame_316.0.jpg,image_group_3_frame_316.0-edges.jpg,1,left_most_index
2,3,image_group_3_frame_313.0.jpg,image_group_3_frame_313.0-edges.jpg,0,right_most_index
3,3,image_group_3_frame_323.0.jpg,image_group_3_frame_323.0-edges.jpg,1,right_most_index
0,4,image_group_4_frame_500.0.jpg,image_group_4_frame_500.0-edges.jpg,0,left_most_index
1,4,image_group_4_frame_504.0.jpg,image_group_4_frame_504.0-edges.jpg,1,left_most_index
2,4,image_group_4_frame_501.0.jpg,image_group_4_frame_501.0-edges.jpg,0,right_most_index
3,4,image_group_4_frame_509.0.jpg,image_group_4_frame_509.0-edges.jpg,1,right_most_index
0,5,image_group_5_frame_555.0.jpg,image_group_5_frame_555.0-edges.jpg,0,left_most_index
1,5,image_group_5_frame_559.0.jpg,image_group_5_frame_559.0-edges.jpg,1,left_most_index
2,5,image_group_5_frame_564.0.jpg,image_group_5_frame_564.0-edges.jpg,0,right_most_index
3,5,image_group_5_frame_560.0.jpg,image_group_5_frame_560.0-edges.jpg,1,right_most_index
0,6,image_group_6_frame_610.0.jpg,image_group_6_frame_610.0-edges.jpg,0,left_most_index
1,6,image_group_6_frame_614.0.jpg,image_group_6_frame_614.0-edges.jpg,1,left_most_index
2,6,image_group_6_frame_619.0.jpg,image_group_6_frame_619.0-edges.jpg,0,right_most_index
3,6,image_group_6_frame_615.0.jpg,image_group_6_frame_615.0-edges.jpg,1,right_most_index
0,7,image_group_7_frame_664.0.jpg,image_group_7_frame_664.0-edges.jpg,0,left_most_index
1,7,image_group_7_frame_668.0.jpg,image_group_7_frame_668.0-edges.jpg,1,left_most_index
2,7,image_group_7_frame_670.0.jpg,image_group_7_frame_670.0-edges.jpg,0,right_most_index
3,7,image_group_7_frame_666.0.jpg,image_group_7_frame_666.0-edges.jpg,1,right_most_index
0,8,image_group_8_frame_875.0.jpg,image_group_8_frame_875.0-edges.jpg,0,left_most_index
1,8,image_group_8_frame_879.0.jpg,image_group_8_frame_879.0-edges.jpg,1,left_most_index
2,8,image_group_8_frame_883.0.jpg,image_group_8_frame_883.0-edges.jpg,0,right_most_index
3,8,image_group_8_frame_880.0.jpg,image_group_8_frame_880.0-edges.jpg,1,right_most_index
0,9,image_group_9_frame_929.0.jpg,image_group_9_frame_929.0-edges.jpg,0,left_most_index
1,9,image_group_9_frame_932.0.jpg,image_group_9_frame_932.0-edges.jpg,1,left_most_index
2,9,image_group_9_frame_937.0.jpg,image_group_9_frame_937.0-edges.jpg,0,right_most_index
3,9,image_group_9_frame_934.0.jpg,image_group_9_frame_934.0-edges.jpg,1,right_most_index
