,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\25H-30L\image_group_0_frame_149.0.jpg,0,0.0,149.0,1024,1215,6,2
1,content\data\images\25H-30L\image_group_0_frame_152.0.jpg,0,0.0,152.0,713,769,0,6
2,content\data\images\25H-30L\image_group_0_frame_153.0.jpg,0,0.0,153.0,718,1018,2,4
3,content\data\images\25H-30L\image_group_0_frame_154.0.jpg,0,0.0,154.0,915,1221,4,1
4,content\data\images\25H-30L\image_group_0_frame_157.0.jpg,0,0.0,157.0,713,858,1,5
5,content\data\images\25H-30L\image_group_0_frame_158.0.jpg,0,0.0,158.0,736,1069,3,3
6,content\data\images\25H-30L\image_group_0_frame_159.0.jpg,0,0.0,159.0,915,1221,5,0
0,content\data\images\25H-30L\image_group_1_frame_204.0.jpg,1,167.0,204.0,696,883,0,7
1,content\data\images\25H-30L\image_group_1_frame_205.0.jpg,1,167.0,205.0,762,1147,3,4
2,content\data\images\25H-30L\image_group_1_frame_206.0.jpg,1,167.0,206.0,1038,1237,6,1
3,content\data\images\25H-30L\image_group_1_frame_209.0.jpg,1,167.0,209.0,696,915,1,6
4,content\data\images\25H-30L\image_group_1_frame_210.0.jpg,1,167.0,210.0,831,1201,4,2
5,content\data\images\25H-30L\image_group_1_frame_211.0.jpg,1,167.0,211.0,1062,1237,7,0
6,content\data\images\25H-30L\image_group_1_frame_214.0.jpg,1,167.0,214.0,696,951,2,5
7,content\data\images\25H-30L\image_group_1_frame_215.0.jpg,1,167.0,215.0,914,1151,5,3
0,content\data\images\25H-30L\image_group_2_frame_257.0.jpg,2,223.0,257.0,1097,1249,6,2
1,content\data\images\25H-30L\image_group_2_frame_260.0.jpg,2,223.0,260.0,682,865,0,6
2,content\data\images\25H-30L\image_group_2_frame_261.0.jpg,2,223.0,261.0,752,1159,2,4
3,content\data\images\25H-30L\image_group_2_frame_262.0.jpg,2,223.0,262.0,1042,1249,4,1
4,content\data\images\25H-30L\image_group_2_frame_265.0.jpg,2,223.0,265.0,682,915,1,5
5,content\data\images\25H-30L\image_group_2_frame_266.0.jpg,2,223.0,266.0,836,1221,3,3
6,content\data\images\25H-30L\image_group_2_frame_267.0.jpg,2,223.0,267.0,1077,1249,5,0
0,content\data\images\25H-30L\image_group_3_frame_311.0.jpg,3,275.0,311.0,693,859,0,8
1,content\data\images\25H-30L\image_group_3_frame_312.0.jpg,3,275.0,312.0,732,1111,3,5
2,content\data\images\25H-30L\image_group_3_frame_313.0.jpg,3,275.0,313.0,1004,1241,6,0
3,content\data\images\25H-30L\image_group_3_frame_316.0.jpg,3,275.0,316.0,693,887,1,7
4,content\data\images\25H-30L\image_group_3_frame_317.0.jpg,3,275.0,317.0,801,1187,4,4
5,content\data\images\25H-30L\image_group_3_frame_318.0.jpg,3,275.0,318.0,1044,1239,7,2
6,content\data\images\25H-30L\image_group_3_frame_321.0.jpg,3,275.0,321.0,693,935,2,6
7,content\data\images\25H-30L\image_group_3_frame_322.0.jpg,3,275.0,322.0,892,1231,5,3
8,content\data\images\25H-30L\image_group_3_frame_323.0.jpg,3,275.0,323.0,1070,1239,8,1
0,content\data\images\25H-30L\image_group_4_frame_500.0.jpg,4,330.0,500.0,708,935,0,3
1,content\data\images\25H-30L\image_group_4_frame_501.0.jpg,4,330.0,501.0,896,1225,5,0
2,content\data\images\25H-30L\image_group_4_frame_504.0.jpg,4,330.0,504.0,708,929,1,4
3,content\data\images\25H-30L\image_group_4_frame_505.0.jpg,4,330.0,505.0,884,1223,4,2
4,content\data\images\25H-30L\image_group_4_frame_508.0.jpg,4,330.0,508.0,708,925,2,5
5,content\data\images\25H-30L\image_group_4_frame_509.0.jpg,4,330.0,509.0,874,1223,3,1
0,content\data\images\25H-30L\image_group_5_frame_555.0.jpg,5,517.0,555.0,695,921,0,5
1,content\data\images\25H-30L\image_group_5_frame_556.0.jpg,5,517.0,556.0,851,1237,3,2
2,content\data\images\25H-30L\image_group_5_frame_559.0.jpg,5,517.0,559.0,695,923,1,4
3,content\data\images\25H-30L\image_group_5_frame_560.0.jpg,5,517.0,560.0,853,1239,4,1
4,content\data\images\25H-30L\image_group_5_frame_563.0.jpg,5,517.0,563.0,695,923,2,3
5,content\data\images\25H-30L\image_group_5_frame_564.0.jpg,5,517.0,564.0,857,1239,5,0
0,content\data\images\25H-30L\image_group_6_frame_610.0.jpg,6,571.0,610.0,680,979,0,5
1,content\data\images\25H-30L\image_group_6_frame_611.0.jpg,6,571.0,611.0,915,1251,3,2
2,content\data\images\25H-30L\image_group_6_frame_614.0.jpg,6,571.0,614.0,680,1017,1,3
3,content\data\images\25H-30L\image_group_6_frame_615.0.jpg,6,571.0,615.0,915,1251,4,1
4,content\data\images\25H-30L\image_group_6_frame_618.0.jpg,6,571.0,618.0,680,1001,2,4
5,content\data\images\25H-30L\image_group_6_frame_619.0.jpg,6,571.0,619.0,960,1251,5,0
0,content\data\images\25H-30L\image_group_7_frame_661.0.jpg,7,626.0,661.0,988,1108,6,6
1,content\data\images\25H-30L\image_group_7_frame_662.0.jpg,7,626.0,662.0,1001,1241,7,2
2,content\data\images\25H-30L\image_group_7_frame_664.0.jpg,7,626.0,664.0,690,781,0,9
3,content\data\images\25H-30L\image_group_7_frame_665.0.jpg,7,626.0,665.0,701,1121,3,4
4,content\data\images\25H-30L\image_group_7_frame_666.0.jpg,7,626.0,666.0,1006,1241,8,1
5,content\data\images\25H-30L\image_group_7_frame_668.0.jpg,7,626.0,668.0,690,857,1,8
6,content\data\images\25H-30L\image_group_7_frame_669.0.jpg,7,626.0,669.0,706,1133,4,3
7,content\data\images\25H-30L\image_group_7_frame_670.0.jpg,7,626.0,670.0,1012,1241,9,0
8,content\data\images\25H-30L\image_group_7_frame_672.0.jpg,7,626.0,672.0,690,857,2,7
9,content\data\images\25H-30L\image_group_7_frame_673.0.jpg,7,626.0,673.0,711,1111,5,5
0,content\data\images\25H-30L\image_group_8_frame_875.0.jpg,8,680.0,875.0,706,889,0,6
1,content\data\images\25H-30L\image_group_8_frame_876.0.jpg,8,680.0,876.0,782,1221,5,2
2,content\data\images\25H-30L\image_group_8_frame_879.0.jpg,8,680.0,879.0,706,1089,1,3
3,content\data\images\25H-30L\image_group_8_frame_880.0.jpg,8,680.0,880.0,996,1227,7,1
4,content\data\images\25H-30L\image_group_8_frame_882.0.jpg,8,680.0,882.0,706,915,2,4
5,content\data\images\25H-30L\image_group_8_frame_883.0.jpg,8,680.0,883.0,846,1227,6,0
6,content\data\images\25H-30L\image_group_8_frame_885.0.jpg,8,680.0,885.0,706,789,3,7
7,content\data\images\25H-30L\image_group_8_frame_886.0.jpg,8,680.0,886.0,713,895,4,5
0,content\data\images\25H-30L\image_group_9_frame_929.0.jpg,9,892.0,929.0,692,934,0,6
1,content\data\images\25H-30L\image_group_9_frame_930.0.jpg,9,892.0,930.0,885,1243,7,2
2,content\data\images\25H-30L\image_group_9_frame_932.0.jpg,9,892.0,932.0,692,820,1,8
3,content\data\images\25H-30L\image_group_9_frame_933.0.jpg,9,892.0,933.0,716,1199,4,3
4,content\data\images\25H-30L\image_group_9_frame_934.0.jpg,9,892.0,934.0,803,1243,6,1
5,content\data\images\25H-30L\image_group_9_frame_936.0.jpg,9,892.0,936.0,692,1005,2,4
6,content\data\images\25H-30L\image_group_9_frame_937.0.jpg,9,892.0,937.0,973,1243,8,0
7,content\data\images\25H-30L\image_group_9_frame_939.0.jpg,9,892.0,939.0,692,885,3,7
8,content\data\images\25H-30L\image_group_9_frame_940.0.jpg,9,892.0,940.0,772,961,5,5
