,group_id,original_img,edge_img,group_order,column
0,0,image_group_0_frame_101.0.jpg,image_group_0_frame_101.0-edges.jpg,0,left_most_index
1,0,image_group_0_frame_106.0.jpg,image_group_0_frame_106.0-edges.jpg,1,left_most_index
2,0,image_group_0_frame_108.0.jpg,image_group_0_frame_108.0-edges.jpg,0,right_most_index
3,0,image_group_0_frame_103.0.jpg,image_group_0_frame_103.0-edges.jpg,1,right_most_index
0,1,image_group_1_frame_153.0.jpg,image_group_1_frame_153.0-edges.jpg,0,left_most_index
1,1,image_group_1_frame_158.0.jpg,image_group_1_frame_158.0-edges.jpg,1,left_most_index
2,1,image_group_1_frame_160.0.jpg,image_group_1_frame_160.0-edges.jpg,0,right_most_index
3,1,image_group_1_frame_155.0.jpg,image_group_1_frame_155.0-edges.jpg,1,right_most_index
0,2,image_group_2_frame_209.0.jpg,image_group_2_frame_209.0-edges.jpg,0,left_most_index
1,2,image_group_2_frame_214.0.jpg,image_group_2_frame_214.0-edges.jpg,1,left_most_index
2,2,image_group_2_frame_216.0.jpg,image_group_2_frame_216.0-edges.jpg,0,right_most_index
3,2,image_group_2_frame_211.0.jpg,image_group_2_frame_211.0-edges.jpg,1,right_most_index
0,3,image_group_3_frame_260.0.jpg,image_group_3_frame_260.0-edges.jpg,0,left_most_index
1,3,image_group_3_frame_265.0.jpg,image_group_3_frame_265.0-edges.jpg,1,left_most_index
2,3,image_group_3_frame_267.0.jpg,image_group_3_frame_267.0-edges.jpg,0,right_most_index
3,3,image_group_3_frame_262.0.jpg,image_group_3_frame_262.0-edges.jpg,1,right_most_index
0,4,image_group_4_frame_479.0.jpg,image_group_4_frame_479.0-edges.jpg,0,left_most_index
1,4,image_group_4_frame_483.0.jpg,image_group_4_frame_483.0-edges.jpg,1,left_most_index
2,4,image_group_4_frame_480.0.jpg,image_group_4_frame_480.0-edges.jpg,0,right_most_index
3,4,image_group_4_frame_476.0.jpg,image_group_4_frame_476.0-edges.jpg,1,right_most_index
0,5,image_group_5_frame_526.0.jpg,image_group_5_frame_526.0-edges.jpg,0,left_most_index
1,5,image_group_5_frame_534.0.jpg,image_group_5_frame_534.0-edges.jpg,1,left_most_index
2,5,image_group_5_frame_535.0.jpg,image_group_5_frame_535.0-edges.jpg,0,right_most_index
3,5,image_group_5_frame_531.0.jpg,image_group_5_frame_531.0-edges.jpg,1,right_most_index
0,6,image_group_6_frame_581.0.jpg,image_group_6_frame_581.0-edges.jpg,0,left_most_index
1,6,image_group_6_frame_585.0.jpg,image_group_6_frame_585.0-edges.jpg,1,left_most_index
2,6,image_group_6_frame_590.0.jpg,image_group_6_frame_590.0-edges.jpg,0,right_most_index
3,6,image_group_6_frame_586.0.jpg,image_group_6_frame_586.0-edges.jpg,1,right_most_index
