,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\15H-25L\image_group_0_frame_132.0.jpg,0,0.0,132.0,1060,1249,6,2
1,content\data\images\15H-25L\image_group_0_frame_135.0.jpg,0,0.0,135.0,678,859,0,6
2,content\data\images\15H-25L\image_group_0_frame_136.0.jpg,0,0.0,136.0,717,1107,2,4
3,content\data\images\15H-25L\image_group_0_frame_137.0.jpg,0,0.0,137.0,1010,1249,4,1
4,content\data\images\15H-25L\image_group_0_frame_140.0.jpg,0,0.0,140.0,678,875,1,5
5,content\data\images\15H-25L\image_group_0_frame_141.0.jpg,0,0.0,141.0,758,1163,3,3
6,content\data\images\15H-25L\image_group_0_frame_142.0.jpg,0,0.0,142.0,1038,1249,5,0
0,content\data\images\15H-25L\image_group_1_frame_187.0.jpg,1,150.0,187.0,670,895,0,6
1,content\data\images\15H-25L\image_group_1_frame_188.0.jpg,1,150.0,188.0,808,1213,3,2
2,content\data\images\15H-25L\image_group_1_frame_189.0.jpg,1,150.0,189.0,1060,1255,6,0
3,content\data\images\15H-25L\image_group_1_frame_192.0.jpg,1,150.0,192.0,670,935,1,5
4,content\data\images\15H-25L\image_group_1_frame_193.0.jpg,1,150.0,193.0,905,1249,4,1
5,content\data\images\15H-25L\image_group_1_frame_197.0.jpg,1,150.0,197.0,676,1019,2,4
6,content\data\images\15H-25L\image_group_1_frame_198.0.jpg,1,150.0,198.0,974,1205,5,3
0,content\data\images\15H-25L\image_group_2_frame_243.0.jpg,2,206.0,243.0,674,889,0,4
1,content\data\images\15H-25L\image_group_2_frame_244.0.jpg,2,206.0,244.0,800,1205,2,2
2,content\data\images\15H-25L\image_group_2_frame_245.0.jpg,2,206.0,245.0,1060,1251,4,0
3,content\data\images\15H-25L\image_group_2_frame_248.0.jpg,2,206.0,248.0,674,931,1,3
4,content\data\images\15H-25L\image_group_2_frame_249.0.jpg,2,206.0,249.0,898,1243,3,1
0,content\data\images\15H-25L\image_group_3_frame_294.0.jpg,3,258.0,294.0,674,881,1,7
1,content\data\images\15H-25L\image_group_3_frame_295.0.jpg,3,258.0,295.0,772,1187,3,4
2,content\data\images\15H-25L\image_group_3_frame_296.0.jpg,3,258.0,296.0,1048,1253,6,2
3,content\data\images\15H-25L\image_group_3_frame_299.0.jpg,3,258.0,299.0,672,923,0,6
4,content\data\images\15H-25L\image_group_3_frame_300.0.jpg,3,258.0,300.0,876,1241,4,3
5,content\data\images\15H-25L\image_group_3_frame_301.0.jpg,3,258.0,301.0,1095,1253,7,1
6,content\data\images\15H-25L\image_group_3_frame_304.0.jpg,3,258.0,304.0,676,1003,2,5
7,content\data\images\15H-25L\image_group_3_frame_305.0.jpg,3,258.0,305.0,969,1253,5,0
0,content\data\images\15H-25L\image_group_4_frame_483.0.jpg,4,313.0,483.0,675,921,0,3
1,content\data\images\15H-25L\image_group_4_frame_484.0.jpg,4,313.0,484.0,876,1251,5,0
2,content\data\images\15H-25L\image_group_4_frame_487.0.jpg,4,313.0,487.0,675,913,1,4
3,content\data\images\15H-25L\image_group_4_frame_488.0.jpg,4,313.0,488.0,855,1249,4,1
4,content\data\images\15H-25L\image_group_4_frame_491.0.jpg,4,313.0,491.0,675,905,2,5
5,content\data\images\15H-25L\image_group_4_frame_492.0.jpg,4,313.0,492.0,837,1247,3,2
0,content\data\images\15H-25L\image_group_5_frame_538.0.jpg,5,500.0,538.0,669,867,0,7
1,content\data\images\15H-25L\image_group_5_frame_539.0.jpg,5,500.0,539.0,746,1219,5,3
2,content\data\images\15H-25L\image_group_5_frame_540.0.jpg,5,500.0,540.0,1064,1255,8,2
3,content\data\images\15H-25L\image_group_5_frame_542.0.jpg,5,500.0,542.0,669,867,1,6
4,content\data\images\15H-25L\image_group_5_frame_543.0.jpg,5,500.0,543.0,743,1217,4,5
5,content\data\images\15H-25L\image_group_5_frame_544.0.jpg,5,500.0,544.0,1062,1257,6,1
6,content\data\images\15H-25L\image_group_5_frame_546.0.jpg,5,500.0,546.0,669,866,2,8
7,content\data\images\15H-25L\image_group_5_frame_547.0.jpg,5,500.0,547.0,742,1217,3,4
8,content\data\images\15H-25L\image_group_5_frame_548.0.jpg,5,500.0,548.0,1062,1257,7,0
0,content\data\images\15H-25L\image_group_6_frame_590.0.jpg,6,554.0,590.0,1070,1241,6,3
1,content\data\images\15H-25L\image_group_6_frame_591.0.jpg,6,554.0,591.0,1109,1253,7,0
2,content\data\images\15H-25L\image_group_6_frame_593.0.jpg,6,554.0,593.0,673,894,0,7
3,content\data\images\15H-25L\image_group_6_frame_594.0.jpg,6,554.0,594.0,812,1244,3,2
4,content\data\images\15H-25L\image_group_6_frame_597.0.jpg,6,554.0,597.0,673,899,1,6
5,content\data\images\15H-25L\image_group_6_frame_598.0.jpg,6,554.0,598.0,822,1247,4,1
6,content\data\images\15H-25L\image_group_6_frame_601.0.jpg,6,554.0,601.0,673,903,2,5
7,content\data\images\15H-25L\image_group_6_frame_602.0.jpg,6,554.0,602.0,833,1233,5,4
0,content\data\images\15H-25L\image_group_7_frame_644.0.jpg,7,609.0,644.0,915,999,3,5
1,content\data\images\15H-25L\image_group_7_frame_645.0.jpg,7,609.0,645.0,966,1255,4,2
