,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\20H-25L\image_group_0_frame_199.0.jpg,0,0.0,199.0,735,881,2,8
1,content\data\images\20H-25L\image_group_0_frame_200.0.jpg,0,0.0,200.0,785,1117,3,5
2,content\data\images\20H-25L\image_group_0_frame_201.0.jpg,0,0.0,201.0,1022,1207,6,2
3,content\data\images\20H-25L\image_group_0_frame_204.0.jpg,0,0.0,204.0,727,899,0,7
4,content\data\images\20H-25L\image_group_0_frame_205.0.jpg,0,0.0,205.0,828,1159,4,4
5,content\data\images\20H-25L\image_group_0_frame_206.0.jpg,0,0.0,206.0,1044,1207,7,1
6,content\data\images\20H-25L\image_group_0_frame_209.0.jpg,0,0.0,209.0,727,923,1,6
7,content\data\images\20H-25L\image_group_0_frame_210.0.jpg,0,0.0,210.0,882,1189,5,3
8,content\data\images\20H-25L\image_group_0_frame_211.0.jpg,0,0.0,211.0,1062,1207,8,0
0,content\data\images\20H-25L\image_group_1_frame_256.0.jpg,1,218.0,256.0,720,985,2,3
1,content\data\images\20H-25L\image_group_1_frame_257.0.jpg,1,218.0,257.0,920,1215,4,1
2,content\data\images\20H-25L\image_group_1_frame_260.0.jpg,1,218.0,260.0,718,856,0,5
3,content\data\images\20H-25L\image_group_1_frame_261.0.jpg,1,218.0,261.0,740,1065,3,2
4,content\data\images\20H-25L\image_group_1_frame_262.0.jpg,1,218.0,262.0,1002,1215,5,0
5,content\data\images\20H-25L\image_group_1_frame_265.0.jpg,1,218.0,265.0,718,862,1,4
0,content\data\images\20H-25L\image_group_2_frame_307.0.jpg,2,271.0,307.0,790,923,3,6
1,content\data\images\20H-25L\image_group_2_frame_308.0.jpg,2,271.0,308.0,886,1201,4,3
2,content\data\images\20H-25L\image_group_2_frame_309.0.jpg,2,271.0,309.0,1082,1217,7,2
3,content\data\images\20H-25L\image_group_2_frame_312.0.jpg,2,271.0,312.0,720,992,1,5
4,content\data\images\20H-25L\image_group_2_frame_313.0.jpg,2,271.0,313.0,966,1217,5,1
5,content\data\images\20H-25L\image_group_2_frame_316.0.jpg,2,271.0,316.0,718,855,0,7
6,content\data\images\20H-25L\image_group_2_frame_317.0.jpg,2,271.0,317.0,746,1083,2,4
7,content\data\images\20H-25L\image_group_2_frame_318.0.jpg,2,271.0,318.0,1014,1217,6,0
0,content\data\images\20H-25L\image_group_3_frame_362.0.jpg,3,326.0,362.0,717,771,1,7
1,content\data\images\20H-25L\image_group_3_frame_363.0.jpg,3,326.0,363.0,724,1021,3,4
2,content\data\images\20H-25L\image_group_3_frame_364.0.jpg,3,326.0,364.0,977,1217,6,1
3,content\data\images\20H-25L\image_group_3_frame_367.0.jpg,3,326.0,367.0,717,871,2,6
4,content\data\images\20H-25L\image_group_3_frame_368.0.jpg,3,326.0,368.0,766,1115,4,3
5,content\data\images\20H-25L\image_group_3_frame_369.0.jpg,3,326.0,369.0,1022,1217,7,0
6,content\data\images\20H-25L\image_group_3_frame_372.0.jpg,3,326.0,372.0,716,905,0,5
7,content\data\images\20H-25L\image_group_3_frame_373.0.jpg,3,326.0,373.0,840,1133,5,2
0,content\data\images\20H-25L\image_group_4_frame_537.0.jpg,4,381.0,537.0,736,854,3,9
1,content\data\images\20H-25L\image_group_4_frame_538.0.jpg,4,381.0,538.0,756,1135,6,3
2,content\data\images\20H-25L\image_group_4_frame_539.0.jpg,4,381.0,539.0,1030,1209,9,2
3,content\data\images\20H-25L\image_group_4_frame_541.0.jpg,4,381.0,541.0,726,869,0,6
4,content\data\images\20H-25L\image_group_4_frame_542.0.jpg,4,381.0,542.0,754,1131,5,5
5,content\data\images\20H-25L\image_group_4_frame_543.0.jpg,4,381.0,543.0,1029,1209,8,1
6,content\data\images\20H-25L\image_group_4_frame_545.0.jpg,4,381.0,545.0,726,867,1,8
7,content\data\images\20H-25L\image_group_4_frame_546.0.jpg,4,381.0,546.0,752,1131,4,4
8,content\data\images\20H-25L\image_group_4_frame_547.0.jpg,4,381.0,547.0,1028,1209,7,0
9,content\data\images\20H-25L\image_group_4_frame_549.0.jpg,4,381.0,549.0,726,867,2,7
0,content\data\images\20H-25L\image_group_5_frame_592.0.jpg,5,557.0,592.0,716,871,0,8
1,content\data\images\20H-25L\image_group_5_frame_593.0.jpg,5,557.0,593.0,770,1173,3,5
2,content\data\images\20H-25L\image_group_5_frame_594.0.jpg,5,557.0,594.0,1059,1217,6,2
3,content\data\images\20H-25L\image_group_5_frame_596.0.jpg,5,557.0,596.0,716,873,1,7
4,content\data\images\20H-25L\image_group_5_frame_597.0.jpg,5,557.0,597.0,774,1177,4,4
5,content\data\images\20H-25L\image_group_5_frame_598.0.jpg,5,557.0,598.0,1060,1217,7,1
6,content\data\images\20H-25L\image_group_5_frame_600.0.jpg,5,557.0,600.0,716,875,2,6
