,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\10H-25L\image_group_0_frame_66.0.jpg,0,0.0,66.0,1057,1279,6,2
1,content\data\images\10H-25L\image_group_0_frame_69.0.jpg,0,0.0,69.0,638,799,0,6
2,content\data\images\10H-25L\image_group_0_frame_70.0.jpg,0,0.0,70.0,652,1045,2,4
3,content\data\images\10H-25L\image_group_0_frame_71.0.jpg,0,0.0,71.0,982,1279,4,1
4,content\data\images\10H-25L\image_group_0_frame_74.0.jpg,0,0.0,74.0,639,844,1,5
5,content\data\images\10H-25L\image_group_0_frame_75.0.jpg,0,0.0,75.0,672,1099,3,3
6,content\data\images\10H-25L\image_group_0_frame_76.0.jpg,0,0.0,76.0,1004,1279,5,0
0,content\data\images\10H-25L\image_group_1_frame_122.0.jpg,1,84.0,122.0,638,965,2,3
1,content\data\images\10H-25L\image_group_1_frame_123.0.jpg,1,84.0,123.0,954,1283,5,1
2,content\data\images\10H-25L\image_group_1_frame_126.0.jpg,1,84.0,126.0,636,685,0,6
3,content\data\images\10H-25L\image_group_1_frame_127.0.jpg,1,84.0,127.0,651,1055,3,2
4,content\data\images\10H-25L\image_group_1_frame_128.0.jpg,1,84.0,128.0,990,1283,6,0
5,content\data\images\10H-25L\image_group_1_frame_131.0.jpg,1,84.0,131.0,636,844,1,5
6,content\data\images\10H-25L\image_group_1_frame_132.0.jpg,1,84.0,132.0,686,959,4,4
0,content\data\images\10H-25L\image_group_2_frame_174.0.jpg,2,141.0,174.0,918,1133,4,5
1,content\data\images\10H-25L\image_group_2_frame_175.0.jpg,2,141.0,175.0,1020,1281,5,2
2,content\data\images\10H-25L\image_group_2_frame_178.0.jpg,2,141.0,178.0,636,873,0,7
3,content\data\images\10H-25L\image_group_2_frame_179.0.jpg,2,141.0,179.0,749,1211,2,4
4,content\data\images\10H-25L\image_group_2_frame_180.0.jpg,2,141.0,180.0,1053,1281,6,1
5,content\data\images\10H-25L\image_group_2_frame_183.0.jpg,2,141.0,183.0,636,909,1,6
6,content\data\images\10H-25L\image_group_2_frame_184.0.jpg,2,141.0,184.0,839,1261,3,3
7,content\data\images\10H-25L\image_group_2_frame_185.0.jpg,2,141.0,185.0,1087,1281,7,0
