,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\10H-30L-edited\image_group_0_frame_68.0.jpg,0,0.0,68.0,581,905,1,6
1,content\data\images\10H-30L-edited\image_group_0_frame_69.0.jpg,0,0.0,69.0,824,1321,3,3
2,content\data\images\10H-30L-edited\image_group_0_frame_70.0.jpg,0,0.0,70.0,1077,1343,6,1
3,content\data\images\10H-30L-edited\image_group_0_frame_73.0.jpg,0,0.0,73.0,580,937,0,5
4,content\data\images\10H-30L-edited\image_group_0_frame_74.0.jpg,0,0.0,74.0,892,1339,4,2
5,content\data\images\10H-30L-edited\image_group_0_frame_78.0.jpg,0,0.0,78.0,581,977,2,4
6,content\data\images\10H-30L-edited\image_group_0_frame_79.0.jpg,0,0.0,79.0,958,1343,5,0
0,content\data\images\10H-30L-edited\image_group_1_frame_122.0.jpg,1,87.0,122.0,1140,1345,5,2
1,content\data\images\10H-30L-edited\image_group_1_frame_125.0.jpg,1,87.0,125.0,577,961,0,4
2,content\data\images\10H-30L-edited\image_group_1_frame_126.0.jpg,1,87.0,126.0,952,1347,3,0
3,content\data\images\10H-30L-edited\image_group_1_frame_129.0.jpg,1,87.0,129.0,578,679,1,5
4,content\data\images\10H-30L-edited\image_group_1_frame_130.0.jpg,1,87.0,130.0,594,1089,2,3
5,content\data\images\10H-30L-edited\image_group_1_frame_131.0.jpg,1,87.0,131.0,994,1345,4,1
0,content\data\images\10H-30L-edited\image_group_2_frame_176.0.jpg,2,139.0,176.0,574,885,0,6
1,content\data\images\10H-30L-edited\image_group_2_frame_177.0.jpg,2,139.0,177.0,740,1297,3,3
2,content\data\images\10H-30L-edited\image_group_2_frame_178.0.jpg,2,139.0,178.0,1072,1347,6,1
3,content\data\images\10H-30L-edited\image_group_2_frame_181.0.jpg,2,139.0,181.0,574,933,1,5
4,content\data\images\10H-30L-edited\image_group_2_frame_182.0.jpg,2,139.0,182.0,881,1345,4,2
5,content\data\images\10H-30L-edited\image_group_2_frame_186.0.jpg,2,139.0,186.0,580,1039,2,4
6,content\data\images\10H-30L-edited\image_group_2_frame_187.0.jpg,2,139.0,187.0,980,1348,5,0
0,content\data\images\10H-30L-edited\image_group_3_frame_232.0.jpg,3,195.0,232.0,578,905,0,4
1,content\data\images\10H-30L-edited\image_group_3_frame_233.0.jpg,3,195.0,233.0,800,1321,4,2
2,content\data\images\10H-30L-edited\image_group_3_frame_234.0.jpg,3,195.0,234.0,1088,1345,6,1
3,content\data\images\10H-30L-edited\image_group_3_frame_237.0.jpg,3,195.0,237.0,578,957,1,3
4,content\data\images\10H-30L-edited\image_group_3_frame_238.0.jpg,3,195.0,238.0,946,1346,5,0
5,content\data\images\10H-30L-edited\image_group_3_frame_241.0.jpg,3,195.0,241.0,579,815,2,6
6,content\data\images\10H-30L-edited\image_group_3_frame_242.0.jpg,3,195.0,242.0,599,830,3,5
0,content\data\images\10H-30L-edited\image_group_4_frame_394.0.jpg,4,248.0,394.0,576,869,0,6
1,content\data\images\10H-30L-edited\image_group_4_frame_395.0.jpg,4,248.0,395.0,692,1319,5,3
2,content\data\images\10H-30L-edited\image_group_4_frame_396.0.jpg,4,248.0,396.0,1072,1347,7,2
3,content\data\images\10H-30L-edited\image_group_4_frame_398.0.jpg,4,248.0,398.0,576,859,1,7
4,content\data\images\10H-30L-edited\image_group_4_frame_399.0.jpg,4,248.0,399.0,670,1305,4,4
5,content\data\images\10H-30L-edited\image_group_4_frame_400.0.jpg,4,248.0,400.0,1072,1347,8,1
6,content\data\images\10H-30L-edited\image_group_4_frame_402.0.jpg,4,248.0,402.0,577,851,2,8
7,content\data\images\10H-30L-edited\image_group_4_frame_403.0.jpg,4,248.0,403.0,652,1291,3,5
