,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\15H-15L\image_group_0_frame_209.0.jpg,0,0.0,209.0,827,913,2,6
1,content\data\images\15H-15L\image_group_0_frame_210.0.jpg,0,0.0,210.0,828,1066,3,3
2,content\data\images\15H-15L\image_group_0_frame_211.0.jpg,0,0.0,211.0,912,1097,5,1
3,content\data\images\15H-15L\image_group_0_frame_214.0.jpg,0,0.0,214.0,826,913,0,5
4,content\data\images\15H-15L\image_group_0_frame_215.0.jpg,0,0.0,215.0,856,1085,4,2
5,content\data\images\15H-15L\image_group_0_frame_216.0.jpg,0,0.0,216.0,912,1097,6,0
6,content\data\images\15H-15L\image_group_0_frame_219.0.jpg,0,0.0,219.0,826,913,1,4
0,content\data\images\15H-15L\image_group_1_frame_261.0.jpg,1,225.0,261.0,824,913,2,8
1,content\data\images\15H-15L\image_group_1_frame_262.0.jpg,1,225.0,262.0,864,1064,3,5
2,content\data\images\15H-15L\image_group_1_frame_263.0.jpg,1,225.0,263.0,912,1101,6,2
3,content\data\images\15H-15L\image_group_1_frame_266.0.jpg,1,225.0,266.0,822,915,0,7
4,content\data\images\15H-15L\image_group_1_frame_267.0.jpg,1,225.0,267.0,888,1089,4,4
5,content\data\images\15H-15L\image_group_1_frame_268.0.jpg,1,225.0,268.0,913,1101,8,1
6,content\data\images\15H-15L\image_group_1_frame_271.0.jpg,1,225.0,271.0,822,942,1,6
7,content\data\images\15H-15L\image_group_1_frame_272.0.jpg,1,225.0,272.0,910,1097,5,3
8,content\data\images\15H-15L\image_group_1_frame_273.0.jpg,1,225.0,273.0,912,1101,7,0
0,content\data\images\15H-15L\image_group_2_frame_317.0.jpg,2,280.0,317.0,826,913,0,5
1,content\data\images\15H-15L\image_group_2_frame_318.0.jpg,2,280.0,318.0,830,1014,2,3
2,content\data\images\15H-15L\image_group_2_frame_319.0.jpg,2,280.0,319.0,912,1099,4,1
3,content\data\images\15H-15L\image_group_2_frame_322.0.jpg,2,280.0,322.0,826,913,1,4
4,content\data\images\15H-15L\image_group_2_frame_323.0.jpg,2,280.0,323.0,844,1050,3,2
5,content\data\images\15H-15L\image_group_2_frame_324.0.jpg,2,280.0,324.0,912,1099,5,0
0,content\data\images\15H-15L\image_group_3_frame_369.0.jpg,3,333.0,369.0,826,913,2,7
1,content\data\images\15H-15L\image_group_3_frame_370.0.jpg,3,333.0,370.0,864,1064,3,4
2,content\data\images\15H-15L\image_group_3_frame_371.0.jpg,3,333.0,371.0,912,1099,5,1
3,content\data\images\15H-15L\image_group_3_frame_374.0.jpg,3,333.0,374.0,824,919,0,6
4,content\data\images\15H-15L\image_group_3_frame_375.0.jpg,3,333.0,375.0,888,1092,4,3
5,content\data\images\15H-15L\image_group_3_frame_376.0.jpg,3,333.0,376.0,912,1099,6,0
6,content\data\images\15H-15L\image_group_3_frame_379.0.jpg,3,333.0,379.0,824,952,1,5
7,content\data\images\15H-15L\image_group_3_frame_380.0.jpg,3,333.0,380.0,912,1097,7,2
0,content\data\images\15H-15L\image_group_4_frame_570.0.jpg,4,388.0,570.0,884,1084,6,5
1,content\data\images\15H-15L\image_group_4_frame_571.0.jpg,4,388.0,571.0,912,1097,7,2
2,content\data\images\15H-15L\image_group_4_frame_573.0.jpg,4,388.0,573.0,826,913,0,9
3,content\data\images\15H-15L\image_group_4_frame_574.0.jpg,4,388.0,574.0,864,1093,3,3
4,content\data\images\15H-15L\image_group_4_frame_575.0.jpg,4,388.0,575.0,912,1097,8,1
5,content\data\images\15H-15L\image_group_4_frame_577.0.jpg,4,388.0,577.0,826,913,1,8
6,content\data\images\15H-15L\image_group_4_frame_578.0.jpg,4,388.0,578.0,864,1088,4,4
7,content\data\images\15H-15L\image_group_4_frame_579.0.jpg,4,388.0,579.0,913,1097,9,0
8,content\data\images\15H-15L\image_group_4_frame_581.0.jpg,4,388.0,581.0,826,913,2,7
9,content\data\images\15H-15L\image_group_4_frame_582.0.jpg,4,388.0,582.0,868,927,5,6
0,content\data\images\15H-15L\image_group_5_frame_624.0.jpg,5,589.0,624.0,822,913,1,8
1,content\data\images\15H-15L\image_group_5_frame_625.0.jpg,5,589.0,625.0,862,1077,4,5
2,content\data\images\15H-15L\image_group_5_frame_626.0.jpg,5,589.0,626.0,912,1101,6,2
3,content\data\images\15H-15L\image_group_5_frame_628.0.jpg,5,589.0,628.0,821,913,0,7
4,content\data\images\15H-15L\image_group_5_frame_629.0.jpg,5,589.0,629.0,862,1077,5,4
5,content\data\images\15H-15L\image_group_5_frame_630.0.jpg,5,589.0,630.0,912,1101,7,1
6,content\data\images\15H-15L\image_group_5_frame_632.0.jpg,5,589.0,632.0,822,913,2,6
7,content\data\images\15H-15L\image_group_5_frame_633.0.jpg,5,589.0,633.0,860,1084,3,3
8,content\data\images\15H-15L\image_group_5_frame_634.0.jpg,5,589.0,634.0,912,1101,8,0
0,content\data\images\15H-15L\image_group_6_frame_679.0.jpg,6,642.0,679.0,825,913,0,8
1,content\data\images\15H-15L\image_group_6_frame_680.0.jpg,6,642.0,680.0,880,1083,3,5
2,content\data\images\15H-15L\image_group_6_frame_681.0.jpg,6,642.0,681.0,912,1099,6,2
3,content\data\images\15H-15L\image_group_6_frame_683.0.jpg,6,642.0,683.0,825,913,1,7
4,content\data\images\15H-15L\image_group_6_frame_684.0.jpg,6,642.0,684.0,880,1083,4,4
5,content\data\images\15H-15L\image_group_6_frame_685.0.jpg,6,642.0,685.0,913,1099,8,1
6,content\data\images\15H-15L\image_group_6_frame_687.0.jpg,6,642.0,687.0,825,913,2,6
7,content\data\images\15H-15L\image_group_6_frame_688.0.jpg,6,642.0,688.0,880,1085,5,3
8,content\data\images\15H-15L\image_group_6_frame_689.0.jpg,6,642.0,689.0,912,1099,7,0
0,content\data\images\15H-15L\image_group_7_frame_734.0.jpg,7,696.0,734.0,823,925,0,5
1,content\data\images\15H-15L\image_group_7_frame_735.0.jpg,7,696.0,735.0,911,1097,3,2
2,content\data\images\15H-15L\image_group_7_frame_738.0.jpg,7,696.0,738.0,823,928,1,4
3,content\data\images\15H-15L\image_group_7_frame_739.0.jpg,7,696.0,739.0,911,1098,4,1
4,content\data\images\15H-15L\image_group_7_frame_742.0.jpg,7,696.0,742.0,823,931,2,3
5,content\data\images\15H-15L\image_group_7_frame_743.0.jpg,7,696.0,743.0,912,1099,5,0
0,content\data\images\15H-15L\image_group_8_frame_897.0.jpg,8,750.0,897.0,826,913,0,7
1,content\data\images\15H-15L\image_group_8_frame_898.0.jpg,8,750.0,898.0,860,1087,4,3
2,content\data\images\15H-15L\image_group_8_frame_899.0.jpg,8,750.0,899.0,912,1099,6,1
3,content\data\images\15H-15L\image_group_8_frame_901.0.jpg,8,750.0,901.0,826,1036,1,4
4,content\data\images\15H-15L\image_group_8_frame_902.0.jpg,8,750.0,902.0,912,1099,7,0
5,content\data\images\15H-15L\image_group_8_frame_904.0.jpg,8,750.0,904.0,826,913,2,6
6,content\data\images\15H-15L\image_group_8_frame_905.0.jpg,8,750.0,905.0,888,1097,5,2
7,content\data\images\15H-15L\image_group_8_frame_908.0.jpg,8,750.0,908.0,828,953,3,5
0,content\data\images\15H-15L\image_group_9_frame_951.0.jpg,9,914.0,951.0,821,913,1,7
1,content\data\images\15H-15L\image_group_9_frame_952.0.jpg,9,914.0,952.0,880,1099,5,2
2,content\data\images\15H-15L\image_group_9_frame_955.0.jpg,9,914.0,955.0,822,1041,3,3
3,content\data\images\15H-15L\image_group_9_frame_956.0.jpg,9,914.0,956.0,912,1101,6,1
4,content\data\images\15H-15L\image_group_9_frame_958.0.jpg,9,914.0,958.0,820,931,0,5
5,content\data\images\15H-15L\image_group_9_frame_959.0.jpg,9,914.0,959.0,912,1101,7,0
6,content\data\images\15H-15L\image_group_9_frame_961.0.jpg,9,914.0,961.0,821,913,2,6
7,content\data\images\15H-15L\image_group_9_frame_962.0.jpg,9,914.0,962.0,838,1007,4,4
0,content\data\images\15H-15L\image_group_10_frame_1005.0.jpg,10,968.0,1005.0,825,955,1,6
1,content\data\images\15H-15L\image_group_10_frame_1006.0.jpg,10,968.0,1006.0,912,1099,6,2
2,content\data\images\15H-15L\image_group_10_frame_1008.0.jpg,10,968.0,1008.0,825,913,2,8
3,content\data\images\15H-15L\image_group_10_frame_1009.0.jpg,10,968.0,1009.0,852,1083,4,3
4,content\data\images\15H-15L\image_group_10_frame_1010.0.jpg,10,968.0,1010.0,913,1099,8,1
5,content\data\images\15H-15L\image_group_10_frame_1012.0.jpg,10,968.0,1012.0,824,1001,0,5
6,content\data\images\15H-15L\image_group_10_frame_1013.0.jpg,10,968.0,1013.0,912,1099,7,0
7,content\data\images\15H-15L\image_group_10_frame_1015.0.jpg,10,968.0,1015.0,825,913,3,7
8,content\data\images\15H-15L\image_group_10_frame_1016.0.jpg,10,968.0,1016.0,887,1059,5,4
0,content\data\images\15H-15L\image_group_11_frame_1059.0.jpg,11,1022.0,1059.0,824,1036,3,5
1,content\data\images\15H-15L\image_group_11_frame_1060.0.jpg,11,1022.0,1060.0,912,1101,5,2
2,content\data\images\15H-15L\image_group_11_frame_1062.0.jpg,11,1022.0,1062.0,823,925,1,7
3,content\data\images\15H-15L\image_group_11_frame_1063.0.jpg,11,1022.0,1063.0,912,1101,6,1
4,content\data\images\15H-15L\image_group_11_frame_1065.0.jpg,11,1022.0,1065.0,823,913,2,8
5,content\data\images\15H-15L\image_group_11_frame_1066.0.jpg,11,1022.0,1066.0,836,1069,4,4
6,content\data\images\15H-15L\image_group_11_frame_1067.0.jpg,11,1022.0,1067.0,913,1101,8,0
7,content\data\images\15H-15L\image_group_11_frame_1069.0.jpg,11,1022.0,1069.0,822,971,0,6
8,content\data\images\15H-15L\image_group_11_frame_1070.0.jpg,11,1022.0,1070.0,912,1099,7,3
0,content\data\images\15H-15L\image_group_12_frame_1235.0.jpg,12,1076.0,1235.0,825,1040,0,4
1,content\data\images\15H-15L\image_group_12_frame_1236.0.jpg,12,1076.0,1236.0,912,1099,4,3
2,content\data\images\15H-15L\image_group_12_frame_1238.0.jpg,12,1076.0,1238.0,825,1037,1,7
3,content\data\images\15H-15L\image_group_12_frame_1239.0.jpg,12,1076.0,1239.0,912,1099,5,2
4,content\data\images\15H-15L\image_group_12_frame_1241.0.jpg,12,1076.0,1241.0,825,1037,2,6
5,content\data\images\15H-15L\image_group_12_frame_1242.0.jpg,12,1076.0,1242.0,912,1099,6,1
6,content\data\images\15H-15L\image_group_12_frame_1244.0.jpg,12,1076.0,1244.0,826,1037,3,5
7,content\data\images\15H-15L\image_group_12_frame_1245.0.jpg,12,1076.0,1245.0,912,1099,7,0
0,content\data\images\15H-15L\image_group_13_frame_1289.0.jpg,13,1253.0,1289.0,913,1101,7,3
1,content\data\images\15H-15L\image_group_13_frame_1291.0.jpg,13,1253.0,1291.0,821,949,0,8
2,content\data\images\15H-15L\image_group_13_frame_1292.0.jpg,13,1253.0,1292.0,912,1101,4,2
3,content\data\images\15H-15L\image_group_13_frame_1294.0.jpg,13,1253.0,1294.0,821,951,1,7
4,content\data\images\15H-15L\image_group_13_frame_1295.0.jpg,13,1253.0,1295.0,912,1101,5,1
5,content\data\images\15H-15L\image_group_13_frame_1297.0.jpg,13,1253.0,1297.0,821,955,2,6
6,content\data\images\15H-15L\image_group_13_frame_1298.0.jpg,13,1253.0,1298.0,912,1101,6,0
7,content\data\images\15H-15L\image_group_13_frame_1300.0.jpg,13,1253.0,1300.0,821,957,3,5
8,content\data\images\15H-15L\image_group_13_frame_1301.0.jpg,13,1253.0,1301.0,913,987,8,4
0,content\data\images\15H-15L\image_group_14_frame_1344.0.jpg,14,1307.0,1344.0,824,929,0,7
1,content\data\images\15H-15L\image_group_14_frame_1345.0.jpg,14,1307.0,1345.0,912,1099,4,3
2,content\data\images\15H-15L\image_group_14_frame_1347.0.jpg,14,1307.0,1347.0,824,933,1,6
3,content\data\images\15H-15L\image_group_14_frame_1348.0.jpg,14,1307.0,1348.0,912,1099,5,2
4,content\data\images\15H-15L\image_group_14_frame_1350.0.jpg,14,1307.0,1350.0,824,937,2,5
5,content\data\images\15H-15L\image_group_14_frame_1351.0.jpg,14,1307.0,1351.0,912,1099,6,1
6,content\data\images\15H-15L\image_group_14_frame_1353.0.jpg,14,1307.0,1353.0,824,943,3,4
7,content\data\images\15H-15L\image_group_14_frame_1354.0.jpg,14,1307.0,1354.0,912,1099,7,0
0,content\data\images\15H-15L\image_group_15_frame_1397.0.jpg,15,1362.0,1397.0,823,931,0,7
1,content\data\images\15H-15L\image_group_15_frame_1398.0.jpg,15,1362.0,1398.0,912,1101,4,3
2,content\data\images\15H-15L\image_group_15_frame_1400.0.jpg,15,1362.0,1400.0,823,935,1,6
3,content\data\images\15H-15L\image_group_15_frame_1401.0.jpg,15,1362.0,1401.0,912,1101,5,2
4,content\data\images\15H-15L\image_group_15_frame_1403.0.jpg,15,1362.0,1403.0,823,939,2,5
5,content\data\images\15H-15L\image_group_15_frame_1404.0.jpg,15,1362.0,1404.0,912,1101,6,1
6,content\data\images\15H-15L\image_group_15_frame_1406.0.jpg,15,1362.0,1406.0,823,941,3,4
7,content\data\images\15H-15L\image_group_15_frame_1407.0.jpg,15,1362.0,1407.0,912,1101,7,0
0,content\data\images\15H-15L\image_group_16_frame_1646.0.jpg,16,1415.0,1646.0,912,1101,7,3
1,content\data\images\15H-15L\image_group_16_frame_1648.0.jpg,16,1415.0,1648.0,825,1037,0,5
2,content\data\images\15H-15L\image_group_16_frame_1649.0.jpg,16,1415.0,1649.0,912,1101,8,2
3,content\data\images\15H-15L\image_group_16_frame_1650.0.jpg,16,1415.0,1650.0,825,913,1,8
4,content\data\images\15H-15L\image_group_16_frame_1651.0.jpg,16,1415.0,1651.0,836,1097,4,4
5,content\data\images\15H-15L\image_group_16_frame_1653.0.jpg,16,1415.0,1653.0,825,921,2,7
6,content\data\images\15H-15L\image_group_16_frame_1654.0.jpg,16,1415.0,1654.0,910,1101,6,1
7,content\data\images\15H-15L\image_group_16_frame_1656.0.jpg,16,1415.0,1656.0,825,1031,3,6
8,content\data\images\15H-15L\image_group_16_frame_1657.0.jpg,16,1415.0,1657.0,846,1101,5,0
0,content\data\images\15H-15L\image_group_17_frame_1701.0.jpg,17,1664.0,1701.0,825,1093,3,5
1,content\data\images\15H-15L\image_group_17_frame_1702.0.jpg,17,1664.0,1702.0,912,1103,7,3
2,content\data\images\15H-15L\image_group_17_frame_1703.0.jpg,17,1664.0,1703.0,820,913,0,9
3,content\data\images\15H-15L\image_group_17_frame_1704.0.jpg,17,1664.0,1704.0,890,1103,5,2
4,content\data\images\15H-15L\image_group_17_frame_1706.0.jpg,17,1664.0,1706.0,820,1017,1,6
5,content\data\images\15H-15L\image_group_17_frame_1707.0.jpg,17,1664.0,1707.0,912,1103,8,1
6,content\data\images\15H-15L\image_group_17_frame_1709.0.jpg,17,1664.0,1709.0,825,1093,4,4
7,content\data\images\15H-15L\image_group_17_frame_1710.0.jpg,17,1664.0,1710.0,912,1103,9,0
8,content\data\images\15H-15L\image_group_17_frame_1711.0.jpg,17,1664.0,1711.0,820,913,2,8
9,content\data\images\15H-15L\image_group_17_frame_1712.0.jpg,17,1664.0,1712.0,890,941,6,7
0,content\data\images\15H-15L\image_group_18_frame_1754.0.jpg,18,1718.0,1754.0,912,1099,6,3
1,content\data\images\15H-15L\image_group_18_frame_1756.0.jpg,18,1718.0,1756.0,823,1025,0,6
2,content\data\images\15H-15L\image_group_18_frame_1757.0.jpg,18,1718.0,1757.0,912,1099,7,2
3,content\data\images\15H-15L\image_group_18_frame_1758.0.jpg,18,1718.0,1758.0,823,913,1,8
4,content\data\images\15H-15L\image_group_18_frame_1759.0.jpg,18,1718.0,1759.0,830,1095,4,4
5,content\data\images\15H-15L\image_group_18_frame_1761.0.jpg,18,1718.0,1761.0,823,915,2,7
6,content\data\images\15H-15L\image_group_18_frame_1762.0.jpg,18,1718.0,1762.0,905,1099,5,1
7,content\data\images\15H-15L\image_group_18_frame_1764.0.jpg,18,1718.0,1764.0,823,1029,3,5
8,content\data\images\15H-15L\image_group_18_frame_1765.0.jpg,18,1718.0,1765.0,912,1099,8,0
0,content\data\images\15H-15L\image_group_19_frame_1808.0.jpg,19,1772.0,1808.0,822,913,1,9
1,content\data\images\15H-15L\image_group_19_frame_1809.0.jpg,19,1772.0,1809.0,848,1101,5,3
2,content\data\images\15H-15L\image_group_19_frame_1811.0.jpg,19,1772.0,1811.0,822,955,2,7
3,content\data\images\15H-15L\image_group_19_frame_1812.0.jpg,19,1772.0,1812.0,912,1101,7,2
4,content\data\images\15H-15L\image_group_19_frame_1814.0.jpg,19,1772.0,1814.0,821,1063,0,4
5,content\data\images\15H-15L\image_group_19_frame_1815.0.jpg,19,1772.0,1815.0,912,1102,8,0
6,content\data\images\15H-15L\image_group_19_frame_1816.0.jpg,19,1772.0,1816.0,822,913,3,8
7,content\data\images\15H-15L\image_group_19_frame_1817.0.jpg,19,1772.0,1817.0,852,1101,6,1
8,content\data\images\15H-15L\image_group_19_frame_1819.0.jpg,19,1772.0,1819.0,822,963,4,6
9,content\data\images\15H-15L\image_group_19_frame_1820.0.jpg,19,1772.0,1820.0,912,1013,9,5
0,content\data\images\15H-15L\image_group_20_frame_2021.0.jpg,20,1827.0,2021.0,824,1069,0,5
1,content\data\images\15H-15L\image_group_20_frame_2022.0.jpg,20,1827.0,2022.0,912,1101,6,3
2,content\data\images\15H-15L\image_group_20_frame_2023.0.jpg,20,1827.0,2023.0,824,929,1,7
3,content\data\images\15H-15L\image_group_20_frame_2024.0.jpg,20,1827.0,2024.0,912,1101,7,2
4,content\data\images\15H-15L\image_group_20_frame_2026.0.jpg,20,1827.0,2026.0,825,1097,4,4
5,content\data\images\15H-15L\image_group_20_frame_2028.0.jpg,20,1827.0,2028.0,824,997,2,6
6,content\data\images\15H-15L\image_group_20_frame_2029.0.jpg,20,1827.0,2029.0,912,1101,8,1
7,content\data\images\15H-15L\image_group_20_frame_2030.0.jpg,20,1827.0,2030.0,824,913,3,8
8,content\data\images\15H-15L\image_group_20_frame_2031.0.jpg,20,1827.0,2031.0,852,1101,5,0
0,content\data\images\15H-15L\image_group_21_frame_2075.0.jpg,21,2038.0,2075.0,820,919,0,7
1,content\data\images\15H-15L\image_group_21_frame_2076.0.jpg,21,2038.0,2076.0,906,1103,6,3
2,content\data\images\15H-15L\image_group_21_frame_2078.0.jpg,21,2038.0,2078.0,823,1101,4,4
3,content\data\images\15H-15L\image_group_21_frame_2080.0.jpg,21,2038.0,2080.0,820,1015,1,6
4,content\data\images\15H-15L\image_group_21_frame_2081.0.jpg,21,2038.0,2081.0,912,1103,7,2
5,content\data\images\15H-15L\image_group_21_frame_2082.0.jpg,21,2038.0,2082.0,821,913,3,8
6,content\data\images\15H-15L\image_group_21_frame_2083.0.jpg,21,2038.0,2083.0,864,1103,5,1
7,content\data\images\15H-15L\image_group_21_frame_2085.0.jpg,21,2038.0,2085.0,820,1085,2,5
8,content\data\images\15H-15L\image_group_21_frame_2086.0.jpg,21,2038.0,2086.0,912,1103,8,0
0,content\data\images\15H-15L\image_group_22_frame_2129.0.jpg,22,2092.0,2129.0,824,913,0,8
1,content\data\images\15H-15L\image_group_22_frame_2130.0.jpg,22,2092.0,2130.0,854,1099,5,4
2,content\data\images\15H-15L\image_group_22_frame_2132.0.jpg,22,2092.0,2132.0,824,1071,1,5
3,content\data\images\15H-15L\image_group_22_frame_2133.0.jpg,22,2092.0,2133.0,913,1101,8,0
4,content\data\images\15H-15L\image_group_22_frame_2134.0.jpg,22,2092.0,2134.0,824,941,2,7
5,content\data\images\15H-15L\image_group_22_frame_2135.0.jpg,22,2092.0,2135.0,912,1099,6,3
6,content\data\images\15H-15L\image_group_22_frame_2137.0.jpg,22,2092.0,2137.0,829,1099,4,2
7,content\data\images\15H-15L\image_group_22_frame_2139.0.jpg,22,2092.0,2139.0,824,1029,3,6
8,content\data\images\15H-15L\image_group_22_frame_2140.0.jpg,22,2092.0,2140.0,912,1099,7,1
0,content\data\images\15H-15L\image_group_23_frame_2184.0.jpg,23,2146.0,2184.0,822,1101,4,4
1,content\data\images\15H-15L\image_group_23_frame_2186.0.jpg,23,2146.0,2186.0,820,1017,0,6
2,content\data\images\15H-15L\image_group_23_frame_2187.0.jpg,23,2146.0,2187.0,912,1103,6,3
3,content\data\images\15H-15L\image_group_23_frame_2188.0.jpg,23,2146.0,2188.0,820,913,1,8
4,content\data\images\15H-15L\image_group_23_frame_2189.0.jpg,23,2146.0,2189.0,868,1103,5,2
5,content\data\images\15H-15L\image_group_23_frame_2191.0.jpg,23,2146.0,2191.0,820,1083,2,5
6,content\data\images\15H-15L\image_group_23_frame_2192.0.jpg,23,2146.0,2192.0,912,1103,7,1
7,content\data\images\15H-15L\image_group_23_frame_2193.0.jpg,23,2146.0,2193.0,820,961,3,7
