height,length,speed,strip,target_deltatime,deltatime_with_pitch,deltatime_without_pitch,error_with_pitch,error_without_pitch,horizontal_resolution,vertical_resolution
200,539,150,0,1282434,2370860,1211624,136,-17,298.0,76.0
200,539,150,1,1282434,2372924,1209372,136,-18,298.0,76.0
200,539,150,2,1282434,2370896,1208576,136,-18,298.0,76.0
200,539,150,3,1282434,2371568,1216308,136,-16,298.0,76.0
200,539,180,0,1065303,2375272,1213268,164,36,298.0,76.0
200,539,180,1,1065303,2371844,1214576,164,36,298.0,76.0
200,539,180,2,1065303,2370844,1215724,164,36,298.0,76.0
200,539,180,3,1065303,2371196,1214696,164,36,298.0,76.0
200,539,210,0,915192,2370904,1214584,182,73,298.0,76.0
200,539,210,1,915192,2369632,1216208,182,73,298.0,76.0
200,539,210,2,915192,2370904,1208524,182,72,298.0,76.0
200,539,210,3,915192,2378428,1216048,183,73,298.0,76.0
200,539,240,0,798977,2372216,1208540,197,100,298.0,76.0
200,539,240,1,798977,2366996,1215924,197,102,298.0,76.0
200,539,240,2,798977,2378264,1220616,197,102,298.0,76.0
200,539,240,3,798977,2379600,1216220,197,102,298.0,76.0
200,539,270,0,711456,2386712,1214480,209,123,298.0,76.0
200,539,270,1,711456,2366076,1208576,208,122,298.0,76.0
200,539,270,2,711456,2370884,1219944,208,124,298.0,76.0
200,539,270,3,711456,2372100,1214928,208,123,298.0,76.0
200,539,300,0,639181,2378500,1215340,217,141,298.0,76.0
200,539,300,1,639181,2373508,1215344,217,141,298.0,76.0
200,539,300,2,639181,2386672,1219880,218,141,298.0,76.0
200,539,300,3,639181,2373532,1215088,217,141,298.0,76.0
200,539,330,0,581914,2371808,1223760,224,156,298.0,76.0
200,539,330,1,581914,2368824,1215248,224,155,298.0,76.0
200,539,330,2,581914,2386688,1208576,225,154,298.0,76.0
200,539,330,3,581914,2367044,1215236,224,155,298.0,76.0
200,651,150,0,1088790,2410800,1219128,192,37,351.0,92.0
200,651,150,1,1088790,2389852,1213228,191,36,351.0,92.0
200,651,150,2,1088790,2382588,1212516,190,35,351.0,92.0
200,651,150,3,1088790,2376052,1215444,190,36,351.0,92.0
200,651,180,0,904445,2404540,1213952,218,89,351.0,92.0
200,651,180,1,904445,2374712,1212908,217,89,351.0,92.0
200,651,180,2,904445,2375336,1219244,217,90,351.0,92.0
200,651,180,3,904445,2371076,1212452,217,89,351.0,92.0
200,651,210,0,777000,2375792,1212496,236,126,351.0,92.0
200,651,210,1,777000,2382904,1222060,236,127,351.0,92.0
200,651,210,2,777000,2374804,1219912,236,127,351.0,92.0
200,651,210,3,777000,2375308,1214648,236,126,351.0,92.0
200,651,240,0,678334,2421756,1212852,252,154,351.0,92.0
200,651,240,1,678334,2386584,1212972,251,154,351.0,92.0
200,651,240,2,678334,2383380,1212984,251,154,351.0,92.0
200,651,240,3,678334,2375996,1212692,250,154,351.0,92.0
200,651,270,0,604028,2413208,1213548,263,176,351.0,92.0
200,651,270,1,604028,2375336,1219340,261,177,351.0,92.0
200,651,270,2,604028,2375720,1212464,261,176,351.0,92.0
200,651,270,3,604028,2367920,1219292,261,177,351.0,92.0
200,651,300,0,542667,2422960,1219852,272,194,351.0,92.0
200,651,300,1,542667,2382788,1212556,271,193,351.0,92.0
200,651,300,2,542667,2383124,1221140,271,195,351.0,92.0
200,651,300,3,542667,2383076,1225892,271,195,351.0,92.0
200,651,330,0,494046,2368416,1225464,277,209,351.0,92.0
200,651,330,1,494046,2368052,1212476,277,207,351.0,92.0
200,651,330,2,494046,2375196,1219584,277,208,351.0,92.0
200,651,330,3,494046,2390592,1215156,278,208,351.0,92.0
200,756,150,0,957808,2380908,1216124,238,84,399.0,107.0
200,756,150,1,957808,2379968,1231368,238,88,399.0,107.0
200,756,150,2,957808,2379320,1216400,238,84,399.0,107.0
200,756,150,3,957808,2374772,1216776,238,84,399.0,107.0
200,756,180,0,795639,2405032,1216120,267,137,399.0,107.0
200,756,180,1,795639,2377676,1223680,265,139,399.0,107.0
200,756,180,2,795639,2378332,1223096,265,139,399.0,107.0
200,756,180,3,795639,2371648,1224776,265,139,399.0,107.0
200,756,210,0,683526,2378824,1216276,284,174,399.0,107.0
200,756,210,1,683526,2379244,1229012,284,177,399.0,107.0
200,756,210,2,683526,2372236,1216532,284,174,399.0,107.0
200,756,210,3,683526,2371660,1222780,284,175,399.0,107.0
200,756,240,0,596729,2371628,1216512,298,203,399.0,107.0
200,756,240,1,596729,2375036,1216112,298,203,399.0,107.0
200,756,240,2,596729,2380388,1216524,298,203,399.0,107.0
200,756,240,3,596729,2380328,1224408,298,204,399.0,107.0
200,756,270,0,531363,2385828,1224972,310,225,399.0,107.0
200,756,270,1,531363,2371664,1231088,309,226,399.0,107.0
200,756,270,2,531363,2379596,1216076,309,224,399.0,107.0
200,756,270,3,531363,2379200,1216628,309,224,399.0,107.0
200,756,300,0,477383,2385712,1216396,319,242,399.0,107.0
