,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\20H-35L\image_group_0_frame_14.0.jpg,0,0.0,14.0,848,1337,3,2
1,content\data\images\20H-35L\image_group_0_frame_18.0.jpg,0,0.0,18.0,578,1009,0,4
2,content\data\images\20H-35L\image_group_0_frame_19.0.jpg,0,0.0,19.0,958,1345,4,1
3,content\data\images\20H-35L\image_group_0_frame_22.0.jpg,0,0.0,22.0,578,666,1,5
4,content\data\images\20H-35L\image_group_0_frame_23.0.jpg,0,0.0,23.0,610,1155,2,3
5,content\data\images\20H-35L\image_group_0_frame_24.0.jpg,0,0.0,24.0,1003,1345,5,0
0,content\data\images\20H-35L\image_group_1_frame_69.0.jpg,1,32.0,69.0,588,935,0,5
1,content\data\images\20H-35L\image_group_1_frame_70.0.jpg,1,32.0,70.0,888,1335,4,1
2,content\data\images\20H-35L\image_group_1_frame_74.0.jpg,1,32.0,74.0,593,1047,2,4
3,content\data\images\20H-35L\image_group_1_frame_75.0.jpg,1,32.0,75.0,979,1339,5,0
4,content\data\images\20H-35L\image_group_1_frame_78.0.jpg,1,32.0,78.0,588,817,1,6
5,content\data\images\20H-35L\image_group_1_frame_79.0.jpg,1,32.0,79.0,635,1177,3,3
6,content\data\images\20H-35L\image_group_1_frame_80.0.jpg,1,32.0,80.0,1024,1225,6,2
0,content\data\images\20H-35L\image_group_2_frame_125.0.jpg,2,88.0,125.0,566,945,0,3
1,content\data\images\20H-35L\image_group_2_frame_126.0.jpg,2,88.0,126.0,914,1359,2,1
2,content\data\images\20H-35L\image_group_2_frame_130.0.jpg,2,88.0,130.0,577,1095,1,2
3,content\data\images\20H-35L\image_group_2_frame_131.0.jpg,2,88.0,131.0,995,1359,3,0
0,content\data\images\20H-35L\image_group_3_frame_176.0.jpg,3,140.0,176.0,568,919,0,5
1,content\data\images\20H-35L\image_group_3_frame_177.0.jpg,3,140.0,177.0,847,1351,4,2
2,content\data\images\20H-35L\image_group_3_frame_181.0.jpg,3,140.0,181.0,570,1037,2,4
3,content\data\images\20H-35L\image_group_3_frame_182.0.jpg,3,140.0,182.0,966,1359,5,0
4,content\data\images\20H-35L\image_group_3_frame_185.0.jpg,3,140.0,185.0,568,693,1,6
5,content\data\images\20H-35L\image_group_3_frame_186.0.jpg,3,140.0,186.0,610,1187,3,3
6,content\data\images\20H-35L\image_group_3_frame_187.0.jpg,3,140.0,187.0,1018,1357,6,1
0,content\data\images\20H-35L\image_group_4_frame_370.0.jpg,4,195.0,370.0,595,1207,2,3
1,content\data\images\20H-35L\image_group_4_frame_371.0.jpg,4,195.0,371.0,1020,1348,5,1
2,content\data\images\20H-35L\image_group_4_frame_374.0.jpg,4,195.0,374.0,584,1173,1,4
3,content\data\images\20H-35L\image_group_4_frame_375.0.jpg,4,195.0,375.0,1010,1348,4,0
4,content\data\images\20H-35L\image_group_4_frame_378.0.jpg,4,195.0,378.0,578,1141,0,5
5,content\data\images\20H-35L\image_group_4_frame_379.0.jpg,4,195.0,379.0,999,1347,3,2
0,content\data\images\20H-35L\image_group_5_frame_425.0.jpg,5,390.0,425.0,586,929,0,3
1,content\data\images\20H-35L\image_group_5_frame_426.0.jpg,5,390.0,426.0,874,1340,5,2
2,content\data\images\20H-35L\image_group_5_frame_429.0.jpg,5,390.0,429.0,586,925,1,4
3,content\data\images\20H-35L\image_group_5_frame_430.0.jpg,5,390.0,430.0,866,1340,4,1
4,content\data\images\20H-35L\image_group_5_frame_433.0.jpg,5,390.0,433.0,587,923,2,5
5,content\data\images\20H-35L\image_group_5_frame_434.0.jpg,5,390.0,434.0,860,1340,3,0
