,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\20H-20L\image_group_0_frame_133.0.jpg,0,0.0,133.0,912,1111,4,3
1,content\data\images\20H-20L\image_group_0_frame_136.0.jpg,0,0.0,136.0,810,913,0,6
2,content\data\images\20H-20L\image_group_0_frame_137.0.jpg,0,0.0,137.0,817,1109,2,4
3,content\data\images\20H-20L\image_group_0_frame_138.0.jpg,0,0.0,138.0,912,1111,5,2
4,content\data\images\20H-20L\image_group_0_frame_141.0.jpg,0,0.0,141.0,810,913,1,5
5,content\data\images\20H-20L\image_group_0_frame_142.0.jpg,0,0.0,142.0,848,1126,3,0
6,content\data\images\20H-20L\image_group_0_frame_143.0.jpg,0,0.0,143.0,912,1111,6,1
0,content\data\images\20H-20L\image_group_1_frame_187.0.jpg,1,151.0,187.0,808,913,2,8
1,content\data\images\20H-20L\image_group_1_frame_188.0.jpg,1,151.0,188.0,816,1038,3,5
2,content\data\images\20H-20L\image_group_1_frame_189.0.jpg,1,151.0,189.0,912,1117,6,2
3,content\data\images\20H-20L\image_group_1_frame_192.0.jpg,1,151.0,192.0,807,913,0,7
4,content\data\images\20H-20L\image_group_1_frame_193.0.jpg,1,151.0,193.0,824,1092,4,4
5,content\data\images\20H-20L\image_group_1_frame_194.0.jpg,1,151.0,194.0,912,1117,7,1
6,content\data\images\20H-20L\image_group_1_frame_197.0.jpg,1,151.0,197.0,807,917,1,6
7,content\data\images\20H-20L\image_group_1_frame_198.0.jpg,1,151.0,198.0,880,1117,5,0
8,content\data\images\20H-20L\image_group_1_frame_199.0.jpg,1,151.0,199.0,913,1109,8,3
0,content\data\images\20H-20L\image_group_2_frame_243.0.jpg,2,206.0,243.0,800,913,0,7
1,content\data\images\20H-20L\image_group_2_frame_244.0.jpg,2,206.0,244.0,856,1096,4,3
2,content\data\images\20H-20L\image_group_2_frame_245.0.jpg,2,206.0,245.0,913,1121,6,2
3,content\data\images\20H-20L\image_group_2_frame_248.0.jpg,2,206.0,248.0,800,927,1,4
4,content\data\images\20H-20L\image_group_2_frame_249.0.jpg,2,206.0,249.0,898,1126,5,0
5,content\data\images\20H-20L\image_group_2_frame_250.0.jpg,2,206.0,250.0,913,1121,7,1
6,content\data\images\20H-20L\image_group_2_frame_252.0.jpg,2,206.0,252.0,800,913,2,6
7,content\data\images\20H-20L\image_group_2_frame_253.0.jpg,2,206.0,253.0,806,913,3,5
0,content\data\images\20H-20L\image_group_3_frame_295.0.jpg,3,259.0,295.0,910,1101,3,3
1,content\data\images\20H-20L\image_group_3_frame_296.0.jpg,3,259.0,296.0,913,1115,5,2
2,content\data\images\20H-20L\image_group_3_frame_299.0.jpg,3,259.0,299.0,808,1005,0,5
3,content\data\images\20H-20L\image_group_3_frame_300.0.jpg,3,259.0,300.0,912,1119,4,0
4,content\data\images\20H-20L\image_group_3_frame_303.0.jpg,3,259.0,303.0,808,913,1,6
5,content\data\images\20H-20L\image_group_3_frame_304.0.jpg,3,259.0,304.0,814,1061,2,4
6,content\data\images\20H-20L\image_group_3_frame_305.0.jpg,3,259.0,305.0,913,1115,6,1
0,content\data\images\20H-20L\image_group_4_frame_435.0.jpg,4,313.0,435.0,913,1111,6,2
1,content\data\images\20H-20L\image_group_4_frame_438.0.jpg,4,313.0,438.0,810,1030,0,4
2,content\data\images\20H-20L\image_group_4_frame_439.0.jpg,4,313.0,439.0,912,1125,4,1
3,content\data\images\20H-20L\image_group_4_frame_442.0.jpg,4,313.0,442.0,810,1029,1,5
4,content\data\images\20H-20L\image_group_4_frame_443.0.jpg,4,313.0,443.0,912,1125,5,0
5,content\data\images\20H-20L\image_group_4_frame_446.0.jpg,4,313.0,446.0,810,1020,2,6
6,content\data\images\20H-20L\image_group_4_frame_447.0.jpg,4,313.0,447.0,911,1055,3,3
0,content\data\images\20H-20L\image_group_5_frame_489.0.jpg,5,454.0,489.0,819,969,3,5
1,content\data\images\20H-20L\image_group_5_frame_490.0.jpg,5,454.0,490.0,912,1119,4,2
2,content\data\images\20H-20L\image_group_5_frame_493.0.jpg,5,454.0,493.0,806,974,0,4
3,content\data\images\20H-20L\image_group_5_frame_494.0.jpg,5,454.0,494.0,912,1119,5,1
4,content\data\images\20H-20L\image_group_5_frame_497.0.jpg,5,454.0,497.0,806,981,1,3
5,content\data\images\20H-20L\image_group_5_frame_498.0.jpg,5,454.0,498.0,912,1119,6,0
6,content\data\images\20H-20L\image_group_5_frame_501.0.jpg,5,454.0,501.0,806,913,2,6
0,content\data\images\20H-20L\image_group_6_frame_543.0.jpg,6,509.0,543.0,800,913,0,8
1,content\data\images\20H-20L\image_group_6_frame_544.0.jpg,6,509.0,544.0,822,1077,3,5
2,content\data\images\20H-20L\image_group_6_frame_545.0.jpg,6,509.0,545.0,913,1123,6,2
3,content\data\images\20H-20L\image_group_6_frame_547.0.jpg,6,509.0,547.0,800,913,1,7
4,content\data\images\20H-20L\image_group_6_frame_548.0.jpg,6,509.0,548.0,826,1089,4,4
5,content\data\images\20H-20L\image_group_6_frame_549.0.jpg,6,509.0,549.0,913,1123,7,1
6,content\data\images\20H-20L\image_group_6_frame_551.0.jpg,6,509.0,551.0,800,913,2,6
7,content\data\images\20H-20L\image_group_6_frame_552.0.jpg,6,509.0,552.0,832,1093,5,3
