,group_id,original_img,edge_img,group_order,column
0,0,image_group_0_frame_168.0.jpg,image_group_0_frame_168.0-edges.jpg,0,left_most_index
1,0,image_group_0_frame_173.0.jpg,image_group_0_frame_173.0-edges.jpg,1,left_most_index
2,0,image_group_0_frame_175.0.jpg,image_group_0_frame_175.0-edges.jpg,0,right_most_index
3,0,image_group_0_frame_170.0.jpg,image_group_0_frame_170.0-edges.jpg,1,right_most_index
0,1,image_group_1_frame_224.0.jpg,image_group_1_frame_224.0-edges.jpg,0,left_most_index
1,1,image_group_1_frame_229.0.jpg,image_group_1_frame_229.0-edges.jpg,1,left_most_index
2,1,image_group_1_frame_226.0.jpg,image_group_1_frame_226.0-edges.jpg,0,right_most_index
3,1,image_group_1_frame_221.0.jpg,image_group_1_frame_221.0-edges.jpg,1,right_most_index
0,2,image_group_2_frame_275.0.jpg,image_group_2_frame_275.0-edges.jpg,0,left_most_index
1,2,image_group_2_frame_280.0.jpg,image_group_2_frame_280.0-edges.jpg,1,left_most_index
2,2,image_group_2_frame_282.0.jpg,image_group_2_frame_282.0-edges.jpg,0,right_most_index
3,2,image_group_2_frame_277.0.jpg,image_group_2_frame_277.0-edges.jpg,1,right_most_index
0,3,image_group_3_frame_326.0.jpg,image_group_3_frame_326.0-edges.jpg,0,left_most_index
1,3,image_group_3_frame_331.0.jpg,image_group_3_frame_331.0-edges.jpg,1,left_most_index
2,3,image_group_3_frame_333.0.jpg,image_group_3_frame_333.0-edges.jpg,0,right_most_index
3,3,image_group_3_frame_328.0.jpg,image_group_3_frame_328.0-edges.jpg,1,right_most_index
0,4,image_group_4_frame_503.0.jpg,image_group_4_frame_503.0-edges.jpg,0,left_most_index
1,4,image_group_4_frame_507.0.jpg,image_group_4_frame_507.0-edges.jpg,1,left_most_index
2,4,image_group_4_frame_513.0.jpg,image_group_4_frame_513.0-edges.jpg,0,right_most_index
3,4,image_group_4_frame_509.0.jpg,image_group_4_frame_509.0-edges.jpg,1,right_most_index
0,5,image_group_5_frame_558.0.jpg,image_group_5_frame_558.0-edges.jpg,0,left_most_index
1,5,image_group_5_frame_562.0.jpg,image_group_5_frame_562.0-edges.jpg,1,left_most_index
2,5,image_group_5_frame_564.0.jpg,image_group_5_frame_564.0-edges.jpg,0,right_most_index
3,5,image_group_5_frame_560.0.jpg,image_group_5_frame_560.0-edges.jpg,1,right_most_index
0,6,image_group_6_frame_613.0.jpg,image_group_6_frame_613.0-edges.jpg,0,left_most_index
1,6,image_group_6_frame_617.0.jpg,image_group_6_frame_617.0-edges.jpg,1,left_most_index
2,6,image_group_6_frame_619.0.jpg,image_group_6_frame_619.0-edges.jpg,0,right_most_index
3,6,image_group_6_frame_615.0.jpg,image_group_6_frame_615.0-edges.jpg,1,right_most_index
0,7,image_group_7_frame_668.0.jpg,image_group_7_frame_668.0-edges.jpg,0,left_most_index
1,7,image_group_7_frame_672.0.jpg,image_group_7_frame_672.0-edges.jpg,1,left_most_index
2,7,image_group_7_frame_673.0.jpg,image_group_7_frame_673.0-edges.jpg,0,right_most_index
3,7,image_group_7_frame_669.0.jpg,image_group_7_frame_669.0-edges.jpg,1,right_most_index
0,8,image_group_8_frame_853.0.jpg,image_group_8_frame_853.0-edges.jpg,0,left_most_index
1,8,image_group_8_frame_856.0.jpg,image_group_8_frame_856.0-edges.jpg,1,left_most_index
2,8,image_group_8_frame_861.0.jpg,image_group_8_frame_861.0-edges.jpg,0,right_most_index
3,8,image_group_8_frame_858.0.jpg,image_group_8_frame_858.0-edges.jpg,1,right_most_index
0,9,image_group_9_frame_907.0.jpg,image_group_9_frame_907.0-edges.jpg,0,left_most_index
1,9,image_group_9_frame_910.0.jpg,image_group_9_frame_910.0-edges.jpg,1,left_most_index
2,9,image_group_9_frame_915.0.jpg,image_group_9_frame_915.0-edges.jpg,0,right_most_index
3,9,image_group_9_frame_912.0.jpg,image_group_9_frame_912.0-edges.jpg,1,right_most_index
0,10,image_group_10_frame_964.0.jpg,image_group_10_frame_964.0-edges.jpg,0,left_most_index
1,10,image_group_10_frame_971.0.jpg,image_group_10_frame_971.0-edges.jpg,1,left_most_index
2,10,image_group_10_frame_972.0.jpg,image_group_10_frame_972.0-edges.jpg,0,right_most_index
3,10,image_group_10_frame_969.0.jpg,image_group_10_frame_969.0-edges.jpg,1,right_most_index
0,11,image_group_11_frame_1018.0.jpg,image_group_11_frame_1018.0-edges.jpg,0,left_most_index
1,11,image_group_11_frame_1021.0.jpg,image_group_11_frame_1021.0-edges.jpg,1,left_most_index
2,11,image_group_11_frame_1026.0.jpg,image_group_11_frame_1026.0-edges.jpg,0,right_most_index
3,11,image_group_11_frame_1022.0.jpg,image_group_11_frame_1022.0-edges.jpg,1,right_most_index
0,12,image_group_12_frame_1168.0.jpg,image_group_12_frame_1168.0-edges.jpg,0,left_most_index
1,12,image_group_12_frame_1171.0.jpg,image_group_12_frame_1171.0-edges.jpg,1,left_most_index
2,12,image_group_12_frame_1175.0.jpg,image_group_12_frame_1175.0-edges.jpg,0,right_most_index
3,12,image_group_12_frame_1172.0.jpg,image_group_12_frame_1172.0-edges.jpg,1,right_most_index
0,13,image_group_13_frame_1224.0.jpg,image_group_13_frame_1224.0-edges.jpg,0,left_most_index
1,13,image_group_13_frame_1230.0.jpg,image_group_13_frame_1230.0-edges.jpg,1,left_most_index
2,13,image_group_13_frame_1232.0.jpg,image_group_13_frame_1232.0-edges.jpg,0,right_most_index
3,13,image_group_13_frame_1229.0.jpg,image_group_13_frame_1229.0-edges.jpg,1,right_most_index
0,14,image_group_14_frame_1286.0.jpg,image_group_14_frame_1286.0-edges.jpg,0,left_most_index
1,14,image_group_14_frame_1280.0.jpg,image_group_14_frame_1280.0-edges.jpg,1,left_most_index
2,14,image_group_14_frame_1285.0.jpg,image_group_14_frame_1285.0-edges.jpg,0,right_most_index
3,14,image_group_14_frame_1282.0.jpg,image_group_14_frame_1282.0-edges.jpg,1,right_most_index
0,15,image_group_15_frame_1330.0.jpg,image_group_15_frame_1330.0-edges.jpg,0,left_most_index
1,15,image_group_15_frame_1333.0.jpg,image_group_15_frame_1333.0-edges.jpg,1,left_most_index
2,15,image_group_15_frame_1338.0.jpg,image_group_15_frame_1338.0-edges.jpg,0,right_most_index
3,15,image_group_15_frame_1335.0.jpg,image_group_15_frame_1335.0-edges.jpg,1,right_most_index
0,16,image_group_16_frame_1531.0.jpg,image_group_16_frame_1531.0-edges.jpg,0,left_most_index
1,16,image_group_16_frame_1533.0.jpg,image_group_16_frame_1533.0-edges.jpg,1,left_most_index
2,16,image_group_16_frame_1540.0.jpg,image_group_16_frame_1540.0-edges.jpg,0,right_most_index
3,16,image_group_16_frame_1537.0.jpg,image_group_16_frame_1537.0-edges.jpg,1,right_most_index
0,17,image_group_17_frame_1583.0.jpg,image_group_17_frame_1583.0-edges.jpg,0,left_most_index
1,17,image_group_17_frame_1586.0.jpg,image_group_17_frame_1586.0-edges.jpg,1,left_most_index
2,17,image_group_17_frame_1590.0.jpg,image_group_17_frame_1590.0-edges.jpg,0,right_most_index
3,17,image_group_17_frame_1587.0.jpg,image_group_17_frame_1587.0-edges.jpg,1,right_most_index
0,18,image_group_18_frame_1641.0.jpg,image_group_18_frame_1641.0-edges.jpg,0,left_most_index
1,18,image_group_18_frame_1644.0.jpg,image_group_18_frame_1644.0-edges.jpg,1,left_most_index
2,18,image_group_18_frame_1648.0.jpg,image_group_18_frame_1648.0-edges.jpg,0,right_most_index
3,18,image_group_18_frame_1645.0.jpg,image_group_18_frame_1645.0-edges.jpg,1,right_most_index
0,19,image_group_19_frame_1694.0.jpg,image_group_19_frame_1694.0-edges.jpg,0,left_most_index
1,19,image_group_19_frame_1696.0.jpg,image_group_19_frame_1696.0-edges.jpg,1,left_most_index
2,19,image_group_19_frame_1703.0.jpg,image_group_19_frame_1703.0-edges.jpg,0,right_most_index
3,19,image_group_19_frame_1700.0.jpg,image_group_19_frame_1700.0-edges.jpg,1,right_most_index
0,20,image_group_20_frame_1739.0.jpg,image_group_20_frame_1739.0-edges.jpg,0,left_most_index
1,20,image_group_20_frame_1893.0.jpg,image_group_20_frame_1893.0-edges.jpg,1,left_most_index
2,20,image_group_20_frame_1901.0.jpg,image_group_20_frame_1901.0-edges.jpg,0,right_most_index
3,20,image_group_20_frame_1899.0.jpg,image_group_20_frame_1899.0-edges.jpg,1,right_most_index
0,21,image_group_21_frame_1948.0.jpg,image_group_21_frame_1948.0-edges.jpg,0,left_most_index
1,21,image_group_21_frame_1950.0.jpg,image_group_21_frame_1950.0-edges.jpg,1,left_most_index
2,21,image_group_21_frame_1956.0.jpg,image_group_21_frame_1956.0-edges.jpg,0,right_most_index
3,21,image_group_21_frame_1954.0.jpg,image_group_21_frame_1954.0-edges.jpg,1,right_most_index
0,22,image_group_22_frame_2000.0.jpg,image_group_22_frame_2000.0-edges.jpg,0,left_most_index
1,22,image_group_22_frame_2002.0.jpg,image_group_22_frame_2002.0-edges.jpg,1,left_most_index
2,22,image_group_22_frame_2006.0.jpg,image_group_22_frame_2006.0-edges.jpg,0,right_most_index
3,22,image_group_22_frame_2008.0.jpg,image_group_22_frame_2008.0-edges.jpg,1,right_most_index
0,23,image_group_23_frame_2062.0.jpg,image_group_23_frame_2062.0-edges.jpg,0,left_most_index
1,23,image_group_23_frame_2054.0.jpg,image_group_23_frame_2054.0-edges.jpg,1,left_most_index
2,23,image_group_23_frame_2065.0.jpg,image_group_23_frame_2065.0-edges.jpg,0,right_most_index
3,23,image_group_23_frame_2063.0.jpg,image_group_23_frame_2063.0-edges.jpg,1,right_most_index
0,24,image_group_24_frame_2304.0.jpg,image_group_24_frame_2304.0-edges.jpg,0,left_most_index
1,24,image_group_24_frame_2306.0.jpg,image_group_24_frame_2306.0-edges.jpg,1,left_most_index
2,24,image_group_24_frame_2314.0.jpg,image_group_24_frame_2314.0-edges.jpg,0,right_most_index
3,24,image_group_24_frame_2309.0.jpg,image_group_24_frame_2309.0-edges.jpg,1,right_most_index
0,25,image_group_25_frame_2358.0.jpg,image_group_25_frame_2358.0-edges.jpg,0,left_most_index
1,25,image_group_25_frame_2360.0.jpg,image_group_25_frame_2360.0-edges.jpg,1,left_most_index
2,25,image_group_25_frame_2368.0.jpg,image_group_25_frame_2368.0-edges.jpg,0,right_most_index
3,25,image_group_25_frame_2366.0.jpg,image_group_25_frame_2366.0-edges.jpg,1,right_most_index
0,26,image_group_26_frame_2412.0.jpg,image_group_26_frame_2412.0-edges.jpg,0,left_most_index
1,26,image_group_26_frame_2421.0.jpg,image_group_26_frame_2421.0-edges.jpg,1,left_most_index
2,26,image_group_26_frame_2422.0.jpg,image_group_26_frame_2422.0-edges.jpg,0,right_most_index
3,26,image_group_26_frame_2420.0.jpg,image_group_26_frame_2420.0-edges.jpg,1,right_most_index
0,27,image_group_27_frame_2466.0.jpg,image_group_27_frame_2466.0-edges.jpg,0,left_most_index
1,27,image_group_27_frame_2468.0.jpg,image_group_27_frame_2468.0-edges.jpg,1,left_most_index
2,27,image_group_27_frame_2476.0.jpg,image_group_27_frame_2476.0-edges.jpg,0,right_most_index
3,27,image_group_27_frame_2474.0.jpg,image_group_27_frame_2474.0-edges.jpg,1,right_most_index
0,28,image_group_28_frame_2714.0.jpg,image_group_28_frame_2714.0-edges.jpg,0,left_most_index
1,28,image_group_28_frame_2716.0.jpg,image_group_28_frame_2716.0-edges.jpg,1,left_most_index
2,28,image_group_28_frame_2725.0.jpg,image_group_28_frame_2725.0-edges.jpg,0,right_most_index
3,28,image_group_28_frame_2723.0.jpg,image_group_28_frame_2723.0-edges.jpg,1,right_most_index
0,29,image_group_29_frame_2768.0.jpg,image_group_29_frame_2768.0-edges.jpg,0,left_most_index
1,29,image_group_29_frame_2770.0.jpg,image_group_29_frame_2770.0-edges.jpg,1,left_most_index
2,29,image_group_29_frame_2779.0.jpg,image_group_29_frame_2779.0-edges.jpg,0,right_most_index
3,29,image_group_29_frame_2777.0.jpg,image_group_29_frame_2777.0-edges.jpg,1,right_most_index
0,30,image_group_30_frame_2822.0.jpg,image_group_30_frame_2822.0-edges.jpg,0,left_most_index
1,30,image_group_30_frame_2824.0.jpg,image_group_30_frame_2824.0-edges.jpg,1,left_most_index
2,30,image_group_30_frame_2832.0.jpg,image_group_30_frame_2832.0-edges.jpg,0,right_most_index
3,30,image_group_30_frame_2830.0.jpg,image_group_30_frame_2830.0-edges.jpg,1,right_most_index
0,31,image_group_31_frame_2877.0.jpg,image_group_31_frame_2877.0-edges.jpg,0,left_most_index
1,31,image_group_31_frame_2879.0.jpg,image_group_31_frame_2879.0-edges.jpg,1,left_most_index
2,31,image_group_31_frame_2886.0.jpg,image_group_31_frame_2886.0-edges.jpg,0,right_most_index
3,31,image_group_31_frame_2884.0.jpg,image_group_31_frame_2884.0-edges.jpg,1,right_most_index
