,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\15H-35L\image_group_0_frame_21.0.jpg,0,0.0,21.0,543,859,0,5
1,content\data\images\15H-35L\image_group_0_frame_22.0.jpg,0,0.0,22.0,620,1253,2,3
2,content\data\images\15H-35L\image_group_0_frame_23.0.jpg,0,0.0,23.0,1032,1379,4,1
3,content\data\images\15H-35L\image_group_0_frame_26.0.jpg,0,0.0,26.0,544,888,1,4
4,content\data\images\15H-35L\image_group_0_frame_27.0.jpg,0,0.0,27.0,730,1339,3,2
5,content\data\images\15H-35L\image_group_0_frame_28.0.jpg,0,0.0,28.0,1059,1379,5,0
0,content\data\images\15H-35L\image_group_1_frame_73.0.jpg,1,37.0,73.0,564,1075,2,5
1,content\data\images\15H-35L\image_group_1_frame_74.0.jpg,1,37.0,74.0,983,1371,5,2
2,content\data\images\15H-35L\image_group_1_frame_77.0.jpg,1,37.0,77.0,553,858,0,7
3,content\data\images\15H-35L\image_group_1_frame_78.0.jpg,1,37.0,78.0,610,1217,3,4
4,content\data\images\15H-35L\image_group_1_frame_79.0.jpg,1,37.0,79.0,1031,1371,6,1
5,content\data\images\15H-35L\image_group_1_frame_82.0.jpg,1,37.0,82.0,553,879,1,6
6,content\data\images\15H-35L\image_group_1_frame_83.0.jpg,1,37.0,83.0,714,1319,4,3
7,content\data\images\15H-35L\image_group_1_frame_84.0.jpg,1,37.0,84.0,1060,1371,7,0
0,content\data\images\15H-35L\image_group_2_frame_129.0.jpg,2,92.0,129.0,546,1099,2,3
1,content\data\images\15H-35L\image_group_2_frame_130.0.jpg,2,92.0,130.0,991,1387,5,1
2,content\data\images\15H-35L\image_group_2_frame_133.0.jpg,2,92.0,133.0,538,843,0,6
3,content\data\images\15H-35L\image_group_2_frame_134.0.jpg,2,92.0,134.0,604,1245,3,2
4,content\data\images\15H-35L\image_group_2_frame_135.0.jpg,2,92.0,135.0,1039,1387,6,0
5,content\data\images\15H-35L\image_group_2_frame_138.0.jpg,2,92.0,138.0,538,885,1,5
6,content\data\images\15H-35L\image_group_2_frame_139.0.jpg,2,92.0,139.0,717,911,4,4
0,content\data\images\15H-35L\image_group_3_frame_181.0.jpg,3,145.0,181.0,938,1381,3,2
1,content\data\images\15H-35L\image_group_3_frame_185.0.jpg,3,145.0,185.0,543,1057,1,4
2,content\data\images\15H-35L\image_group_3_frame_186.0.jpg,3,145.0,186.0,974,1385,4,1
3,content\data\images\15H-35L\image_group_3_frame_189.0.jpg,3,145.0,189.0,540,689,0,5
4,content\data\images\15H-35L\image_group_3_frame_190.0.jpg,3,145.0,190.0,586,1207,2,3
5,content\data\images\15H-35L\image_group_3_frame_191.0.jpg,3,145.0,191.0,1017,1385,5,0
0,content\data\images\15H-35L\image_group_4_frame_605.0.jpg,4,199.0,605.0,545,1041,2,3
1,content\data\images\15H-35L\image_group_4_frame_606.0.jpg,4,199.0,606.0,970,1384,5,2
2,content\data\images\15H-35L\image_group_4_frame_609.0.jpg,4,199.0,609.0,544,1011,0,4
3,content\data\images\15H-35L\image_group_4_frame_610.0.jpg,4,199.0,610.0,962,1384,4,1
4,content\data\images\15H-35L\image_group_4_frame_613.0.jpg,4,199.0,613.0,544,981,1,5
5,content\data\images\15H-35L\image_group_4_frame_614.0.jpg,4,199.0,614.0,946,1384,3,0
0,content\data\images\15H-35L\image_group_5_frame_660.0.jpg,5,625.0,660.0,556,911,0,3
1,content\data\images\15H-35L\image_group_5_frame_661.0.jpg,5,625.0,661.0,812,1375,5,2
2,content\data\images\15H-35L\image_group_5_frame_664.0.jpg,5,625.0,664.0,556,909,1,4
3,content\data\images\15H-35L\image_group_5_frame_665.0.jpg,5,625.0,665.0,807,1375,4,1
4,content\data\images\15H-35L\image_group_5_frame_668.0.jpg,5,625.0,668.0,556,907,2,5
5,content\data\images\15H-35L\image_group_5_frame_669.0.jpg,5,625.0,669.0,803,1375,3,0
0,content\data\images\15H-35L\image_group_6_frame_715.0.jpg,6,677.0,715.0,540,923,0,5
1,content\data\images\15H-35L\image_group_6_frame_716.0.jpg,6,677.0,716.0,850,1392,3,2
2,content\data\images\15H-35L\image_group_6_frame_719.0.jpg,6,677.0,719.0,540,1117,1,3
3,content\data\images\15H-35L\image_group_6_frame_720.0.jpg,6,677.0,720.0,859,1393,4,0
4,content\data\images\15H-35L\image_group_6_frame_723.0.jpg,6,677.0,723.0,540,931,2,4
5,content\data\images\15H-35L\image_group_6_frame_724.0.jpg,6,677.0,724.0,870,1392,5,1
0,content\data\images\15H-35L\image_group_7_frame_767.0.jpg,7,731.0,767.0,1043,1391,6,2
1,content\data\images\15H-35L\image_group_7_frame_770.0.jpg,7,731.0,770.0,541,1121,0,6
2,content\data\images\15H-35L\image_group_7_frame_771.0.jpg,7,731.0,771.0,995,1391,3,1
3,content\data\images\15H-35L\image_group_7_frame_774.0.jpg,7,731.0,774.0,541,1143,1,5
4,content\data\images\15H-35L\image_group_7_frame_775.0.jpg,7,731.0,775.0,1002,1391,4,0
5,content\data\images\15H-35L\image_group_7_frame_778.0.jpg,7,731.0,778.0,542,1161,2,4
6,content\data\images\15H-35L\image_group_7_frame_779.0.jpg,7,731.0,779.0,1008,1311,5,3
0,content\data\images\15H-35L\image_group_8_frame_1029.0.jpg,8,786.0,1029.0,542,881,0,5
1,content\data\images\15H-35L\image_group_8_frame_1030.0.jpg,8,786.0,1030.0,714,1387,4,2
2,content\data\images\15H-35L\image_group_8_frame_1033.0.jpg,8,786.0,1033.0,542,1243,1,3
3,content\data\images\15H-35L\image_group_8_frame_1034.0.jpg,8,786.0,1034.0,1036,1387,6,1
4,content\data\images\15H-35L\image_group_8_frame_1036.0.jpg,8,786.0,1036.0,542,911,2,4
5,content\data\images\15H-35L\image_group_8_frame_1037.0.jpg,8,786.0,1037.0,808,1387,5,0
6,content\data\images\15H-35L\image_group_8_frame_1040.0.jpg,8,786.0,1040.0,552,638,3,6
0,content\data\images\15H-35L\image_group_9_frame_1083.0.jpg,9,1046.0,1083.0,554,701,0,5
1,content\data\images\15H-35L\image_group_9_frame_1084.0.jpg,9,1046.0,1084.0,614,1365,3,2
2,content\data\images\15H-35L\image_group_9_frame_1087.0.jpg,9,1046.0,1087.0,554,1107,1,3
3,content\data\images\15H-35L\image_group_9_frame_1088.0.jpg,9,1046.0,1088.0,994,1377,5,1
4,content\data\images\15H-35L\image_group_9_frame_1090.0.jpg,9,1046.0,1090.0,554,864,2,4
5,content\data\images\15H-35L\image_group_9_frame_1091.0.jpg,9,1046.0,1091.0,696,1377,4,0
0,content\data\images\15H-35L\image_group_10_frame_1137.0.jpg,10,1100.0,1137.0,538,677,0,5
