,group_id,original_img,edge_img,group_order,column
0,0,image_group_0_frame_215.0.jpg,image_group_0_frame_215.0-edges.jpg,0,left_most_index
1,0,image_group_0_frame_220.0.jpg,image_group_0_frame_220.0-edges.jpg,1,left_most_index
2,0,image_group_0_frame_221.0.jpg,image_group_0_frame_221.0-edges.jpg,0,right_most_index
3,0,image_group_0_frame_212.0.jpg,image_group_0_frame_212.0-edges.jpg,1,right_most_index
0,1,image_group_1_frame_266.0.jpg,image_group_1_frame_266.0-edges.jpg,0,left_most_index
1,1,image_group_1_frame_271.0.jpg,image_group_1_frame_271.0-edges.jpg,1,left_most_index
2,1,image_group_1_frame_273.0.jpg,image_group_1_frame_273.0-edges.jpg,0,right_most_index
3,1,image_group_1_frame_268.0.jpg,image_group_1_frame_268.0-edges.jpg,1,right_most_index
0,2,image_group_2_frame_322.0.jpg,image_group_2_frame_322.0-edges.jpg,0,left_most_index
1,2,image_group_2_frame_327.0.jpg,image_group_2_frame_327.0-edges.jpg,1,left_most_index
2,2,image_group_2_frame_329.0.jpg,image_group_2_frame_329.0-edges.jpg,0,right_most_index
3,2,image_group_2_frame_324.0.jpg,image_group_2_frame_324.0-edges.jpg,1,right_most_index
0,3,image_group_3_frame_378.0.jpg,image_group_3_frame_378.0-edges.jpg,0,left_most_index
1,3,image_group_3_frame_383.0.jpg,image_group_3_frame_383.0-edges.jpg,1,left_most_index
2,3,image_group_3_frame_385.0.jpg,image_group_3_frame_385.0-edges.jpg,0,right_most_index
3,3,image_group_3_frame_380.0.jpg,image_group_3_frame_380.0-edges.jpg,1,right_most_index
0,4,image_group_4_frame_562.0.jpg,image_group_4_frame_562.0-edges.jpg,0,left_most_index
1,4,image_group_4_frame_566.0.jpg,image_group_4_frame_566.0-edges.jpg,1,left_most_index
2,4,image_group_4_frame_572.0.jpg,image_group_4_frame_572.0-edges.jpg,0,right_most_index
3,4,image_group_4_frame_568.0.jpg,image_group_4_frame_568.0-edges.jpg,1,right_most_index
0,5,image_group_5_frame_617.0.jpg,image_group_5_frame_617.0-edges.jpg,0,left_most_index
1,5,image_group_5_frame_621.0.jpg,image_group_5_frame_621.0-edges.jpg,1,left_most_index
2,5,image_group_5_frame_626.0.jpg,image_group_5_frame_626.0-edges.jpg,0,right_most_index
3,5,image_group_5_frame_622.0.jpg,image_group_5_frame_622.0-edges.jpg,1,right_most_index
0,6,image_group_6_frame_672.0.jpg,image_group_6_frame_672.0-edges.jpg,0,left_most_index
1,6,image_group_6_frame_676.0.jpg,image_group_6_frame_676.0-edges.jpg,1,left_most_index
2,6,image_group_6_frame_681.0.jpg,image_group_6_frame_681.0-edges.jpg,0,right_most_index
3,6,image_group_6_frame_677.0.jpg,image_group_6_frame_677.0-edges.jpg,1,right_most_index
0,7,image_group_7_frame_726.0.jpg,image_group_7_frame_726.0-edges.jpg,0,left_most_index
1,7,image_group_7_frame_730.0.jpg,image_group_7_frame_730.0-edges.jpg,1,left_most_index
2,7,image_group_7_frame_732.0.jpg,image_group_7_frame_732.0-edges.jpg,0,right_most_index
3,7,image_group_7_frame_728.0.jpg,image_group_7_frame_728.0-edges.jpg,1,right_most_index
