,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\20H-30L\image_group_0_frame_183.0.jpg,0,0.0,183.0,638,914,0,7
1,content\data\images\20H-30L\image_group_0_frame_184.0.jpg,0,0.0,184.0,791,1237,3,3
2,content\data\images\20H-30L\image_group_0_frame_185.0.jpg,0,0.0,185.0,913,1279,6,1
3,content\data\images\20H-30L\image_group_0_frame_188.0.jpg,0,0.0,188.0,638,919,1,6
4,content\data\images\20H-30L\image_group_0_frame_189.0.jpg,0,0.0,189.0,859,1265,4,2
5,content\data\images\20H-30L\image_group_0_frame_190.0.jpg,0,0.0,190.0,913,1279,7,0
6,content\data\images\20H-30L\image_group_0_frame_193.0.jpg,0,0.0,193.0,638,961,2,5
7,content\data\images\20H-30L\image_group_0_frame_194.0.jpg,0,0.0,194.0,912,1093,5,4
0,content\data\images\20H-30L\image_group_1_frame_236.0.jpg,1,202.0,236.0,913,1273,4,3
1,content\data\images\20H-30L\image_group_1_frame_237.0.jpg,1,202.0,237.0,913,1285,5,2
2,content\data\images\20H-30L\image_group_1_frame_240.0.jpg,1,202.0,240.0,634,1005,1,5
3,content\data\images\20H-30L\image_group_1_frame_241.0.jpg,1,202.0,241.0,912,1285,3,1
4,content\data\images\20H-30L\image_group_1_frame_244.0.jpg,1,202.0,244.0,130,914,0,6
5,content\data\images\20H-30L\image_group_1_frame_245.0.jpg,1,202.0,245.0,652,1083,2,4
6,content\data\images\20H-30L\image_group_1_frame_246.0.jpg,1,202.0,246.0,913,1285,6,0
0,content\data\images\20H-30L\image_group_2_frame_291.0.jpg,2,254.0,291.0,628,914,1,7
1,content\data\images\20H-30L\image_group_2_frame_292.0.jpg,2,254.0,292.0,783,1249,4,2
2,content\data\images\20H-30L\image_group_2_frame_293.0.jpg,2,254.0,293.0,913,1289,6,0
3,content\data\images\20H-30L\image_group_2_frame_296.0.jpg,2,254.0,296.0,628,933,2,5
4,content\data\images\20H-30L\image_group_2_frame_297.0.jpg,2,254.0,297.0,900,1287,5,1
5,content\data\images\20H-30L\image_group_2_frame_300.0.jpg,2,254.0,300.0,122,914,0,6
6,content\data\images\20H-30L\image_group_2_frame_301.0.jpg,2,254.0,301.0,636,1066,3,4
7,content\data\images\20H-30L\image_group_2_frame_302.0.jpg,2,254.0,302.0,913,1181,7,3
0,content\data\images\20H-30L\image_group_3_frame_344.0.jpg,3,310.0,344.0,913,1285,4,2
1,content\data\images\20H-30L\image_group_3_frame_347.0.jpg,3,310.0,347.0,632,914,0,5
2,content\data\images\20H-30L\image_group_3_frame_348.0.jpg,3,310.0,348.0,816,1259,2,3
3,content\data\images\20H-30L\image_group_3_frame_349.0.jpg,3,310.0,349.0,913,1285,5,1
4,content\data\images\20H-30L\image_group_3_frame_352.0.jpg,3,310.0,352.0,632,957,1,4
5,content\data\images\20H-30L\image_group_3_frame_353.0.jpg,3,310.0,353.0,912,1285,3,0
0,content\data\images\20H-30L\image_group_4_frame_545.0.jpg,4,362.0,545.0,142,914,2,8
1,content\data\images\20H-30L\image_group_4_frame_546.0.jpg,4,362.0,546.0,660,1175,5,3
2,content\data\images\20H-30L\image_group_4_frame_547.0.jpg,4,362.0,547.0,662,1283,6,2
3,content\data\images\20H-30L\image_group_4_frame_549.0.jpg,4,362.0,549.0,136,915,0,7
4,content\data\images\20H-30L\image_group_4_frame_550.0.jpg,4,362.0,550.0,659,1171,4,5
5,content\data\images\20H-30L\image_group_4_frame_551.0.jpg,4,362.0,551.0,913,1283,7,1
6,content\data\images\20H-30L\image_group_4_frame_553.0.jpg,4,362.0,553.0,136,915,1,6
7,content\data\images\20H-30L\image_group_4_frame_554.0.jpg,4,362.0,554.0,658,1171,3,4
8,content\data\images\20H-30L\image_group_4_frame_555.0.jpg,4,362.0,555.0,913,1283,8,0
0,content\data\images\20H-30L\image_group_5_frame_600.0.jpg,5,562.0,600.0,630,915,0,8
1,content\data\images\20H-30L\image_group_5_frame_601.0.jpg,5,562.0,601.0,659,1191,3,5
2,content\data\images\20H-30L\image_group_5_frame_602.0.jpg,5,562.0,602.0,913,1287,6,2
3,content\data\images\20H-30L\image_group_5_frame_604.0.jpg,5,562.0,604.0,630,915,1,7
4,content\data\images\20H-30L\image_group_5_frame_605.0.jpg,5,562.0,605.0,664,1201,4,4
5,content\data\images\20H-30L\image_group_5_frame_606.0.jpg,5,562.0,606.0,913,1287,7,1
6,content\data\images\20H-30L\image_group_5_frame_608.0.jpg,5,562.0,608.0,630,915,2,6
7,content\data\images\20H-30L\image_group_5_frame_609.0.jpg,5,562.0,609.0,671,1211,5,3
8,content\data\images\20H-30L\image_group_5_frame_610.0.jpg,5,562.0,610.0,913,1287,8,0
0,content\data\images\20H-30L\image_group_6_frame_652.0.jpg,6,616.0,652.0,913,1287,6,2
1,content\data\images\20H-30L\image_group_6_frame_655.0.jpg,6,616.0,655.0,626,915,0,6
2,content\data\images\20H-30L\image_group_6_frame_656.0.jpg,6,616.0,656.0,820,1291,3,1
3,content\data\images\20H-30L\image_group_6_frame_659.0.jpg,6,616.0,659.0,626,961,1,4
4,content\data\images\20H-30L\image_group_6_frame_660.0.jpg,6,616.0,660.0,842,1293,4,0
5,content\data\images\20H-30L\image_group_6_frame_663.0.jpg,6,616.0,663.0,626,918,2,5
6,content\data\images\20H-30L\image_group_6_frame_664.0.jpg,6,616.0,664.0,865,1261,5,3
0,content\data\images\20H-30L\image_group_7_frame_706.0.jpg,7,671.0,706.0,913,1131,6,5
1,content\data\images\20H-30L\image_group_7_frame_707.0.jpg,7,671.0,707.0,913,1287,7,2
2,content\data\images\20H-30L\image_group_7_frame_709.0.jpg,7,671.0,709.0,129,915,0,9
3,content\data\images\20H-30L\image_group_7_frame_710.0.jpg,7,671.0,710.0,642,1153,3,4
4,content\data\images\20H-30L\image_group_7_frame_711.0.jpg,7,671.0,711.0,913,1287,8,1
5,content\data\images\20H-30L\image_group_7_frame_713.0.jpg,7,671.0,713.0,144,915,1,8
6,content\data\images\20H-30L\image_group_7_frame_714.0.jpg,7,671.0,714.0,650,1171,4,3
7,content\data\images\20H-30L\image_group_7_frame_715.0.jpg,7,671.0,715.0,913,1287,9,0
8,content\data\images\20H-30L\image_group_7_frame_717.0.jpg,7,671.0,717.0,631,915,2,7
9,content\data\images\20H-30L\image_group_7_frame_718.0.jpg,7,671.0,718.0,658,1062,5,6
0,content\data\images\20H-30L\image_group_8_frame_921.0.jpg,8,725.0,921.0,638,1181,2,4
1,content\data\images\20H-30L\image_group_8_frame_922.0.jpg,8,725.0,922.0,913,1286,5,1
2,content\data\images\20H-30L\image_group_8_frame_924.0.jpg,8,725.0,924.0,635,921,1,5
3,content\data\images\20H-30L\image_group_8_frame_925.0.jpg,8,725.0,925.0,870,1285,4,2
4,content\data\images\20H-30L\image_group_8_frame_927.0.jpg,8,725.0,927.0,142,915,0,6
5,content\data\images\20H-30L\image_group_8_frame_928.0.jpg,8,725.0,928.0,654,1229,3,3
6,content\data\images\20H-30L\image_group_8_frame_929.0.jpg,8,725.0,929.0,913,1287,6,0
0,content\data\images\20H-30L\image_group_9_frame_975.0.jpg,9,938.0,975.0,630,1107,0,4
1,content\data\images\20H-30L\image_group_9_frame_976.0.jpg,9,938.0,976.0,913,1289,4,2
2,content\data\images\20H-30L\image_group_9_frame_978.0.jpg,9,938.0,978.0,630,915,1,5
3,content\data\images\20H-30L\image_group_9_frame_979.0.jpg,9,938.0,979.0,792,1289,3,1
4,content\data\images\20H-30L\image_group_9_frame_982.0.jpg,9,938.0,982.0,633,1191,2,3
5,content\data\images\20H-30L\image_group_9_frame_983.0.jpg,9,938.0,983.0,913,1289,5,0
0,content\data\images\20H-30L\image_group_10_frame_1029.0.jpg,10,992.0,1029.0,624,1173,0,4
1,content\data\images\20H-30L\image_group_10_frame_1030.0.jpg,10,992.0,1030.0,913,1295,5,1
2,content\data\images\20H-30L\image_group_10_frame_1032.0.jpg,10,992.0,1032.0,624,969,1,5
3,content\data\images\20H-30L\image_group_10_frame_1033.0.jpg,10,992.0,1033.0,861,1293,4,2
4,content\data\images\20H-30L\image_group_10_frame_1035.0.jpg,10,992.0,1035.0,624,915,2,6
5,content\data\images\20H-30L\image_group_10_frame_1036.0.jpg,10,992.0,1036.0,647,1249,3,3
6,content\data\images\20H-30L\image_group_10_frame_1037.0.jpg,10,992.0,1037.0,913,1296,6,0
0,content\data\images\20H-30L\image_group_11_frame_1082.0.jpg,11,1046.0,1082.0,630,914,0,7
1,content\data\images\20H-30L\image_group_11_frame_1083.0.jpg,11,1046.0,1083.0,675,1268,4,3
2,content\data\images\20H-30L\image_group_11_frame_1084.0.jpg,11,1046.0,1084.0,913,1289,6,2
3,content\data\images\20H-30L\image_group_11_frame_1086.0.jpg,11,1046.0,1086.0,630,1070,1,4
4,content\data\images\20H-30L\image_group_11_frame_1087.0.jpg,11,1046.0,1087.0,913,1289,7,1
5,content\data\images\20H-30L\image_group_11_frame_1089.0.jpg,11,1046.0,1089.0,630,915,2,5
6,content\data\images\20H-30L\image_group_11_frame_1090.0.jpg,11,1046.0,1090.0,762,1289,5,0
7,content\data\images\20H-30L\image_group_11_frame_1093.0.jpg,11,1046.0,1093.0,630,914,3,6
0,content\data\images\20H-30L\image_group_12_frame_1233.0.jpg,12,1099.0,1233.0,842,1285,8,2
1,content\data\images\20H-30L\image_group_12_frame_1235.0.jpg,12,1099.0,1235.0,634,915,0,8
2,content\data\images\20H-30L\image_group_12_frame_1236.0.jpg,12,1099.0,1236.0,700,1286,7,0
