,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
3,content\data\images\10H-15L\image_group_11_frame_891.0.jpg,11,850.0,891.0,793,1135,4,3
4,content\data\images\10H-15L\image_group_11_frame_892.0.jpg,11,850.0,892.0,906,1156,7,0
5,content\data\images\10H-15L\image_group_11_frame_894.0.jpg,11,850.0,894.0,758,1009,2,5
6,content\data\images\10H-15L\image_group_11_frame_895.0.jpg,11,850.0,895.0,906,1155,8,1
7,content\data\images\10H-15L\image_group_11_frame_897.0.jpg,11,850.0,897.0,758,906,3,7
8,content\data\images\10H-15L\image_group_11_frame_898.0.jpg,11,850.0,898.0,842,1111,5,4
0,content\data\images\10H-15L\image_group_12_frame_1050.0.jpg,12,904.0,1050.0,876,939,4,4
1,content\data\images\10H-15L\image_group_12_frame_1051.0.jpg,12,904.0,1051.0,906,1153,5,3
2,content\data\images\10H-15L\image_group_12_frame_1053.0.jpg,12,904.0,1053.0,760,937,0,5
3,content\data\images\10H-15L\image_group_12_frame_1054.0.jpg,12,904.0,1054.0,906,1153,6,2
4,content\data\images\10H-15L\image_group_12_frame_1056.0.jpg,12,904.0,1056.0,760,936,1,6
5,content\data\images\10H-15L\image_group_12_frame_1057.0.jpg,12,904.0,1057.0,906,1153,7,1
6,content\data\images\10H-15L\image_group_12_frame_1059.0.jpg,12,904.0,1059.0,760,935,2,7
7,content\data\images\10H-15L\image_group_12_frame_1060.0.jpg,12,904.0,1060.0,906,1153,8,0
8,content\data\images\10H-15L\image_group_12_frame_1062.0.jpg,12,904.0,1062.0,760,913,3,8
0,content\data\images\10H-15L\image_group_13_frame_1106.0.jpg,13,1068.0,1106.0,758,906,0,7
1,content\data\images\10H-15L\image_group_13_frame_1107.0.jpg,13,1068.0,1107.0,815,1157,4,2
2,content\data\images\10H-15L\image_group_13_frame_1109.0.jpg,13,1068.0,1109.0,758,906,1,6
3,content\data\images\10H-15L\image_group_13_frame_1110.0.jpg,13,1068.0,1110.0,816,1157,5,1
4,content\data\images\10H-15L\image_group_13_frame_1112.0.jpg,13,1068.0,1112.0,758,906,2,5
5,content\data\images\10H-15L\image_group_13_frame_1113.0.jpg,13,1068.0,1113.0,818,1157,6,0
6,content\data\images\10H-15L\image_group_13_frame_1115.0.jpg,13,1068.0,1115.0,758,906,3,4
7,content\data\images\10H-15L\image_group_13_frame_1116.0.jpg,13,1068.0,1116.0,820,1155,7,3
0,content\data\images\10H-15L\image_group_14_frame_1159.0.jpg,14,1122.0,1159.0,756,906,0,7
1,content\data\images\10H-15L\image_group_14_frame_1160.0.jpg,14,1122.0,1160.0,781,1149,4,3
2,content\data\images\10H-15L\image_group_14_frame_1162.0.jpg,14,1122.0,1162.0,756,906,1,6
3,content\data\images\10H-15L\image_group_14_frame_1163.0.jpg,14,1122.0,1163.0,784,1151,5,2
4,content\data\images\10H-15L\image_group_14_frame_1165.0.jpg,14,1122.0,1165.0,756,906,2,5
5,content\data\images\10H-15L\image_group_14_frame_1166.0.jpg,14,1122.0,1166.0,786,1151,6,1
6,content\data\images\10H-15L\image_group_14_frame_1168.0.jpg,14,1122.0,1168.0,756,906,3,4
7,content\data\images\10H-15L\image_group_14_frame_1169.0.jpg,14,1122.0,1169.0,790,1153,7,0
0,content\data\images\10H-15L\image_group_15_frame_1212.0.jpg,15,1177.0,1212.0,762,906,4,9
1,content\data\images\10H-15L\image_group_15_frame_1213.0.jpg,15,1177.0,1213.0,774,1143,5,4
2,content\data\images\10H-15L\image_group_15_frame_1214.0.jpg,15,1177.0,1214.0,906,1157,9,0
3,content\data\images\10H-15L\image_group_15_frame_1215.0.jpg,15,1177.0,1215.0,757,906,0,8
4,content\data\images\10H-15L\image_group_15_frame_1216.0.jpg,15,1177.0,1216.0,777,1145,6,3
5,content\data\images\10H-15L\image_group_15_frame_1218.0.jpg,15,1177.0,1218.0,757,906,1,7
6,content\data\images\10H-15L\image_group_15_frame_1219.0.jpg,15,1177.0,1219.0,780,1147,7,2
7,content\data\images\10H-15L\image_group_15_frame_1221.0.jpg,15,1177.0,1221.0,757,906,2,6
8,content\data\images\10H-15L\image_group_15_frame_1222.0.jpg,15,1177.0,1222.0,783,1149,8,1
9,content\data\images\10H-15L\image_group_15_frame_1224.0.jpg,15,1177.0,1224.0,757,906,3,5
0,content\data\images\10H-15L\image_group_16_frame_1401.0.jpg,16,1230.0,1401.0,760,971,3,7
1,content\data\images\10H-15L\image_group_16_frame_1402.0.jpg,16,1230.0,1402.0,906,1155,6,4
2,content\data\images\10H-15L\image_group_16_frame_1404.0.jpg,16,1230.0,1404.0,760,1115,4,5
3,content\data\images\10H-15L\image_group_16_frame_1405.0.jpg,16,1230.0,1405.0,906,1155,7,3
4,content\data\images\10H-15L\image_group_16_frame_1406.0.jpg,16,1230.0,1406.0,759,906,0,9
5,content\data\images\10H-15L\image_group_16_frame_1407.0.jpg,16,1230.0,1407.0,808,1155,5,2
6,content\data\images\10H-15L\image_group_16_frame_1409.0.jpg,16,1230.0,1409.0,759,959,1,8
7,content\data\images\10H-15L\image_group_16_frame_1410.0.jpg,16,1230.0,1410.0,906,1155,8,1
8,content\data\images\10H-15L\image_group_16_frame_1412.0.jpg,16,1230.0,1412.0,759,1107,2,6
9,content\data\images\10H-15L\image_group_16_frame_1413.0.jpg,16,1230.0,1413.0,906,1155,9,0
0,content\data\images\10H-15L\image_group_17_frame_1456.0.jpg,17,1420.0,1456.0,757,906,0,7
1,content\data\images\10H-15L\image_group_17_frame_1457.0.jpg,17,1420.0,1457.0,788,1158,4,3
2,content\data\images\10H-15L\image_group_17_frame_1459.0.jpg,17,1420.0,1459.0,757,939,1,5
3,content\data\images\10H-15L\image_group_17_frame_1460.0.jpg,17,1420.0,1460.0,906,1159,6,1
4,content\data\images\10H-15L\image_group_17_frame_1462.0.jpg,17,1420.0,1462.0,757,1103,2,4
5,content\data\images\10H-15L\image_group_17_frame_1463.0.jpg,17,1420.0,1463.0,906,1158,7,2
6,content\data\images\10H-15L\image_group_17_frame_1464.0.jpg,17,1420.0,1464.0,757,906,3,6
7,content\data\images\10H-15L\image_group_17_frame_1465.0.jpg,17,1420.0,1465.0,792,1159,5,0
0,content\data\images\10H-15L\image_group_18_frame_1509.0.jpg,18,1473.0,1509.0,756,999,0,8
1,content\data\images\10H-15L\image_group_18_frame_1510.0.jpg,18,1473.0,1510.0,906,1157,6,4
2,content\data\images\10H-15L\image_group_18_frame_1512.0.jpg,18,1473.0,1512.0,756,1135,1,6
3,content\data\images\10H-15L\image_group_18_frame_1513.0.jpg,18,1473.0,1513.0,906,1157,7,3
4,content\data\images\10H-15L\image_group_18_frame_1514.0.jpg,18,1473.0,1514.0,756,906,2,9
5,content\data\images\10H-15L\image_group_18_frame_1515.0.jpg,18,1473.0,1515.0,834,1157,5,2
6,content\data\images\10H-15L\image_group_18_frame_1517.0.jpg,18,1473.0,1517.0,756,1011,3,7
7,content\data\images\10H-15L\image_group_18_frame_1518.0.jpg,18,1473.0,1518.0,906,1157,8,1
8,content\data\images\10H-15L\image_group_18_frame_1520.0.jpg,18,1473.0,1520.0,758,1141,4,5
9,content\data\images\10H-15L\image_group_18_frame_1521.0.jpg,18,1473.0,1521.0,906,1157,9,0
0,content\data\images\10H-15L\image_group_19_frame_1564.0.jpg,19,1527.0,1564.0,756,933,0,7
1,content\data\images\10H-15L\image_group_19_frame_1565.0.jpg,19,1527.0,1565.0,906,1157,6,3
2,content\data\images\10H-15L\image_group_19_frame_1567.0.jpg,19,1527.0,1567.0,756,1099,1,4
3,content\data\images\10H-15L\image_group_19_frame_1568.0.jpg,19,1527.0,1568.0,906,1157,7,2
4,content\data\images\10H-15L\image_group_19_frame_1569.0.jpg,19,1527.0,1569.0,756,906,2,8
5,content\data\images\10H-15L\image_group_19_frame_1570.0.jpg,19,1527.0,1570.0,792,1157,5,1
6,content\data\images\10H-15L\image_group_19_frame_1572.0.jpg,19,1527.0,1572.0,756,949,3,6
7,content\data\images\10H-15L\image_group_19_frame_1573.0.jpg,19,1527.0,1573.0,906,1157,8,0
8,content\data\images\10H-15L\image_group_19_frame_1575.0.jpg,19,1527.0,1575.0,756,979,4,5
0,content\data\images\10H-15L\image_group_20_frame_1764.0.jpg,20,1581.0,1764.0,758,1145,0,4
1,content\data\images\10H-15L\image_group_20_frame_1766.0.jpg,20,1581.0,1766.0,758,965,1,6
2,content\data\images\10H-15L\image_group_20_frame_1767.0.jpg,20,1581.0,1767.0,906,1155,7,3
3,content\data\images\10H-15L\image_group_20_frame_1768.0.jpg,20,1581.0,1768.0,758,906,2,8
4,content\data\images\10H-15L\image_group_20_frame_1769.0.jpg,20,1581.0,1769.0,775,1155,5,2
5,content\data\images\10H-15L\image_group_20_frame_1771.0.jpg,20,1581.0,1771.0,758,1065,3,5
6,content\data\images\10H-15L\image_group_20_frame_1772.0.jpg,20,1581.0,1772.0,906,1155,8,1
7,content\data\images\10H-15L\image_group_20_frame_1773.0.jpg,20,1581.0,1773.0,758,906,4,7
8,content\data\images\10H-15L\image_group_20_frame_1774.0.jpg,20,1581.0,1774.0,838,1155,6,0
0,content\data\images\10H-15L\image_group_21_frame_1818.0.jpg,21,1781.0,1818.0,756,906,0,8
1,content\data\images\10H-15L\image_group_21_frame_1819.0.jpg,21,1781.0,1819.0,807,1159,5,3
2,content\data\images\10H-15L\image_group_21_frame_1821.0.jpg,21,1781.0,1821.0,756,1121,1,5
3,content\data\images\10H-15L\image_group_21_frame_1822.0.jpg,21,1781.0,1822.0,906,1159,6,2
4,content\data\images\10H-15L\image_group_21_frame_1823.0.jpg,21,1781.0,1823.0,756,921,2,7
5,content\data\images\10H-15L\image_group_21_frame_1824.0.jpg,21,1781.0,1824.0,906,1159,7,1
6,content\data\images\10H-15L\image_group_21_frame_1826.0.jpg,21,1781.0,1826.0,759,1158,4,4
7,content\data\images\10H-15L\image_group_21_frame_1828.0.jpg,21,1781.0,1828.0,756,1033,3,6
8,content\data\images\10H-15L\image_group_21_frame_1829.0.jpg,21,1781.0,1829.0,906,1159,8,0
0,content\data\images\10H-15L\image_group_22_frame_1873.0.jpg,22,1835.0,1873.0,756,1075,0,5
1,content\data\images\10H-15L\image_group_22_frame_1874.0.jpg,22,1835.0,1874.0,906,1157,7,2
2,content\data\images\10H-15L\image_group_22_frame_1875.0.jpg,22,1835.0,1875.0,756,906,1,8
3,content\data\images\10H-15L\image_group_22_frame_1876.0.jpg,22,1835.0,1876.0,850,1157,6,1
4,content\data\images\10H-15L\image_group_22_frame_1878.0.jpg,22,1835.0,1878.0,756,1145,2,4
5,content\data\images\10H-15L\image_group_22_frame_1880.0.jpg,22,1835.0,1880.0,756,973,3,7
6,content\data\images\10H-15L\image_group_22_frame_1881.0.jpg,22,1835.0,1881.0,906,1157,8,0
7,content\data\images\10H-15L\image_group_22_frame_1882.0.jpg,22,1835.0,1882.0,756,1073,4,6
8,content\data\images\10H-15L\image_group_22_frame_1883.0.jpg,22,1835.0,1883.0,778,1155,5,3
0,content\data\images\10H-15L\image_group_23_frame_1925.0.jpg,23,1890.0,1925.0,906,1020,6,6
1,content\data\images\10H-15L\image_group_23_frame_1926.0.jpg,23,1890.0,1926.0,906,1157,7,4
2,content\data\images\10H-15L\image_group_23_frame_1927.0.jpg,23,1890.0,1927.0,756,906,0,9
3,content\data\images\10H-15L\image_group_23_frame_1928.0.jpg,23,1890.0,1928.0,805,1157,5,3
4,content\data\images\10H-15L\image_group_23_frame_1930.0.jpg,23,1890.0,1930.0,756,1119,1,5
5,content\data\images\10H-15L\image_group_23_frame_1931.0.jpg,23,1890.0,1931.0,906,1157,8,2
6,content\data\images\10H-15L\image_group_23_frame_1932.0.jpg,23,1890.0,1932.0,756,924,2,8
7,content\data\images\10H-15L\image_group_23_frame_1933.0.jpg,23,1890.0,1933.0,906,1157,9,1
8,content\data\images\10H-15L\image_group_23_frame_1935.0.jpg,23,1890.0,1935.0,760,1157,4,0
9,content\data\images\10H-15L\image_group_23_frame_1937.0.jpg,23,1890.0,1937.0,756,989,3,7
0,content\data\images\10H-15L\image_group_24_frame_2212.0.jpg,24,1944.0,2212.0,758,1091,0,5
1,content\data\images\10H-15L\image_group_24_frame_2213.0.jpg,24,1944.0,2213.0,906,1157,7,4
2,content\data\images\10H-15L\image_group_24_frame_2214.0.jpg,24,1944.0,2214.0,758,982,1,6
3,content\data\images\10H-15L\image_group_24_frame_2215.0.jpg,24,1944.0,2215.0,906,1157,8,3
4,content\data\images\10H-15L\image_group_24_frame_2216.0.jpg,24,1944.0,2216.0,758,906,2,8
5,content\data\images\10H-15L\image_group_24_frame_2217.0.jpg,24,1944.0,2217.0,860,1157,6,2
6,content\data\images\10H-15L\image_group_24_frame_2218.0.jpg,24,1944.0,2218.0,758,906,3,7
7,content\data\images\10H-15L\image_group_24_frame_2219.0.jpg,24,1944.0,2219.0,779,1157,5,1
8,content\data\images\10H-15L\image_group_24_frame_2221.0.jpg,24,1944.0,2221.0,758,1157,4,0
0,content\data\images\10H-15L\image_group_25_frame_2265.0.jpg,25,2229.0,2265.0,906,1159,6,4
1,content\data\images\10H-15L\image_group_25_frame_2266.0.jpg,25,2229.0,2266.0,756,1033,0,6
2,content\data\images\10H-15L\image_group_25_frame_2267.0.jpg,25,2229.0,2267.0,906,1159,7,3
3,content\data\images\10H-15L\image_group_25_frame_2268.0.jpg,25,2229.0,2268.0,756,921,1,7
4,content\data\images\10H-15L\image_group_25_frame_2269.0.jpg,25,2229.0,2269.0,906,1159,8,2
5,content\data\images\10H-15L\image_group_25_frame_2270.0.jpg,25,2229.0,2270.0,756,906,2,8
6,content\data\images\10H-15L\image_group_25_frame_2271.0.jpg,25,2229.0,2271.0,806,1159,5,1
