,group_id,original_img,edge_img,group_order,column
0,0,image_group_0_frame_202.0.jpg,image_group_0_frame_202.0-edges.jpg,0,left_most_index
1,0,image_group_0_frame_198.0.jpg,image_group_0_frame_198.0-edges.jpg,1,left_most_index
2,0,image_group_0_frame_204.0.jpg,image_group_0_frame_204.0-edges.jpg,0,right_most_index
3,0,image_group_0_frame_199.0.jpg,image_group_0_frame_199.0-edges.jpg,1,right_most_index
0,1,image_group_1_frame_254.0.jpg,image_group_1_frame_254.0-edges.jpg,0,left_most_index
1,1,image_group_1_frame_249.0.jpg,image_group_1_frame_249.0-edges.jpg,1,left_most_index
2,1,image_group_1_frame_256.0.jpg,image_group_1_frame_256.0-edges.jpg,0,right_most_index
3,1,image_group_1_frame_251.0.jpg,image_group_1_frame_251.0-edges.jpg,1,right_most_index
0,2,image_group_2_frame_305.0.jpg,image_group_2_frame_305.0-edges.jpg,0,left_most_index
1,2,image_group_2_frame_310.0.jpg,image_group_2_frame_310.0-edges.jpg,1,left_most_index
2,2,image_group_2_frame_312.0.jpg,image_group_2_frame_312.0-edges.jpg,0,right_most_index
3,2,image_group_2_frame_307.0.jpg,image_group_2_frame_307.0-edges.jpg,1,right_most_index
0,3,image_group_3_frame_356.0.jpg,image_group_3_frame_356.0-edges.jpg,0,left_most_index
1,3,image_group_3_frame_361.0.jpg,image_group_3_frame_361.0-edges.jpg,1,left_most_index
2,3,image_group_3_frame_358.0.jpg,image_group_3_frame_358.0-edges.jpg,0,right_most_index
3,3,image_group_3_frame_367.0.jpg,image_group_3_frame_367.0-edges.jpg,1,right_most_index
0,4,image_group_4_frame_486.0.jpg,image_group_4_frame_486.0-edges.jpg,0,left_most_index
1,4,image_group_4_frame_490.0.jpg,image_group_4_frame_490.0-edges.jpg,1,left_most_index
2,4,image_group_4_frame_491.0.jpg,image_group_4_frame_491.0-edges.jpg,0,right_most_index
3,4,image_group_4_frame_487.0.jpg,image_group_4_frame_487.0-edges.jpg,1,right_most_index
0,5,image_group_5_frame_541.0.jpg,image_group_5_frame_541.0-edges.jpg,0,left_most_index
1,5,image_group_5_frame_545.0.jpg,image_group_5_frame_545.0-edges.jpg,1,left_most_index
2,5,image_group_5_frame_546.0.jpg,image_group_5_frame_546.0-edges.jpg,0,right_most_index
3,5,image_group_5_frame_542.0.jpg,image_group_5_frame_542.0-edges.jpg,1,right_most_index
0,6,image_group_6_frame_592.0.jpg,image_group_6_frame_592.0-edges.jpg,0,left_most_index
1,6,image_group_6_frame_596.0.jpg,image_group_6_frame_596.0-edges.jpg,1,left_most_index
2,6,image_group_6_frame_601.0.jpg,image_group_6_frame_601.0-edges.jpg,0,right_most_index
3,6,image_group_6_frame_597.0.jpg,image_group_6_frame_597.0-edges.jpg,1,right_most_index
0,7,image_group_7_frame_646.0.jpg,image_group_7_frame_646.0-edges.jpg,0,left_most_index
1,7,image_group_7_frame_650.0.jpg,image_group_7_frame_650.0-edges.jpg,1,left_most_index
2,7,image_group_7_frame_648.0.jpg,image_group_7_frame_648.0-edges.jpg,0,right_most_index
3,7,image_group_7_frame_655.0.jpg,image_group_7_frame_655.0-edges.jpg,1,right_most_index
0,8,image_group_8_frame_810.0.jpg,image_group_8_frame_810.0-edges.jpg,0,left_most_index
1,8,image_group_8_frame_814.0.jpg,image_group_8_frame_814.0-edges.jpg,1,left_most_index
2,8,image_group_8_frame_818.0.jpg,image_group_8_frame_818.0-edges.jpg,0,right_most_index
3,8,image_group_8_frame_815.0.jpg,image_group_8_frame_815.0-edges.jpg,1,right_most_index
0,9,image_group_9_frame_871.0.jpg,image_group_9_frame_871.0-edges.jpg,0,left_most_index
1,9,image_group_9_frame_864.0.jpg,image_group_9_frame_864.0-edges.jpg,1,left_most_index
2,9,image_group_9_frame_872.0.jpg,image_group_9_frame_872.0-edges.jpg,0,right_most_index
3,9,image_group_9_frame_869.0.jpg,image_group_9_frame_869.0-edges.jpg,1,right_most_index
0,10,image_group_10_frame_918.0.jpg,image_group_10_frame_918.0-edges.jpg,0,left_most_index
1,10,image_group_10_frame_921.0.jpg,image_group_10_frame_921.0-edges.jpg,1,left_most_index
2,10,image_group_10_frame_929.0.jpg,image_group_10_frame_929.0-edges.jpg,0,right_most_index
3,10,image_group_10_frame_926.0.jpg,image_group_10_frame_926.0-edges.jpg,1,right_most_index
0,11,image_group_11_frame_978.0.jpg,image_group_11_frame_978.0-edges.jpg,0,left_most_index
1,11,image_group_11_frame_981.0.jpg,image_group_11_frame_981.0-edges.jpg,1,left_most_index
2,11,image_group_11_frame_983.0.jpg,image_group_11_frame_983.0-edges.jpg,0,right_most_index
3,11,image_group_11_frame_979.0.jpg,image_group_11_frame_979.0-edges.jpg,1,right_most_index
0,12,image_group_12_frame_1124.0.jpg,image_group_12_frame_1124.0-edges.jpg,0,left_most_index
1,12,image_group_12_frame_1125.0.jpg,image_group_12_frame_1125.0-edges.jpg,1,left_most_index
2,12,image_group_12_frame_1135.0.jpg,image_group_12_frame_1135.0-edges.jpg,0,right_most_index
3,12,image_group_12_frame_1129.0.jpg,image_group_12_frame_1129.0-edges.jpg,1,right_most_index
0,13,image_group_13_frame_1178.0.jpg,image_group_13_frame_1178.0-edges.jpg,0,left_most_index
1,13,image_group_13_frame_1181.0.jpg,image_group_13_frame_1181.0-edges.jpg,1,left_most_index
2,13,image_group_13_frame_1188.0.jpg,image_group_13_frame_1188.0-edges.jpg,0,right_most_index
3,13,image_group_13_frame_1185.0.jpg,image_group_13_frame_1185.0-edges.jpg,1,right_most_index
0,14,image_group_14_frame_1234.0.jpg,image_group_14_frame_1234.0-edges.jpg,0,left_most_index
1,14,image_group_14_frame_1237.0.jpg,image_group_14_frame_1237.0-edges.jpg,1,left_most_index
2,14,image_group_14_frame_1241.0.jpg,image_group_14_frame_1241.0-edges.jpg,0,right_most_index
3,14,image_group_14_frame_1238.0.jpg,image_group_14_frame_1238.0-edges.jpg,1,right_most_index
0,15,image_group_15_frame_1286.0.jpg,image_group_15_frame_1286.0-edges.jpg,0,left_most_index
1,15,image_group_15_frame_1289.0.jpg,image_group_15_frame_1289.0-edges.jpg,1,left_most_index
2,15,image_group_15_frame_1296.0.jpg,image_group_15_frame_1296.0-edges.jpg,0,right_most_index
3,15,image_group_15_frame_1293.0.jpg,image_group_15_frame_1293.0-edges.jpg,1,right_most_index
0,16,image_group_16_frame_1475.0.jpg,image_group_16_frame_1475.0-edges.jpg,0,left_most_index
1,16,image_group_16_frame_1478.0.jpg,image_group_16_frame_1478.0-edges.jpg,1,left_most_index
2,16,image_group_16_frame_1484.0.jpg,image_group_16_frame_1484.0-edges.jpg,0,right_most_index
3,16,image_group_16_frame_1482.0.jpg,image_group_16_frame_1482.0-edges.jpg,1,right_most_index
0,17,image_group_17_frame_1528.0.jpg,image_group_17_frame_1528.0-edges.jpg,0,left_most_index
1,17,image_group_17_frame_1533.0.jpg,image_group_17_frame_1533.0-edges.jpg,1,left_most_index
2,17,image_group_17_frame_1537.0.jpg,image_group_17_frame_1537.0-edges.jpg,0,right_most_index
3,17,image_group_17_frame_1534.0.jpg,image_group_17_frame_1534.0-edges.jpg,1,right_most_index
0,18,image_group_18_frame_1583.0.jpg,image_group_18_frame_1583.0-edges.jpg,0,left_most_index
1,18,image_group_18_frame_1586.0.jpg,image_group_18_frame_1586.0-edges.jpg,1,left_most_index
2,18,image_group_18_frame_1592.0.jpg,image_group_18_frame_1592.0-edges.jpg,0,right_most_index
3,18,image_group_18_frame_1589.0.jpg,image_group_18_frame_1589.0-edges.jpg,1,right_most_index
0,19,image_group_19_frame_1638.0.jpg,image_group_19_frame_1638.0-edges.jpg,0,left_most_index
1,19,image_group_19_frame_1641.0.jpg,image_group_19_frame_1641.0-edges.jpg,1,left_most_index
2,19,image_group_19_frame_1647.0.jpg,image_group_19_frame_1647.0-edges.jpg,0,right_most_index
3,19,image_group_19_frame_1644.0.jpg,image_group_19_frame_1644.0-edges.jpg,1,right_most_index
0,20,image_group_20_frame_1838.0.jpg,image_group_20_frame_1838.0-edges.jpg,0,left_most_index
1,20,image_group_20_frame_1840.0.jpg,image_group_20_frame_1840.0-edges.jpg,1,left_most_index
2,20,image_group_20_frame_1846.0.jpg,image_group_20_frame_1846.0-edges.jpg,0,right_most_index
3,20,image_group_20_frame_1841.0.jpg,image_group_20_frame_1841.0-edges.jpg,1,right_most_index
0,21,image_group_21_frame_1895.0.jpg,image_group_21_frame_1895.0-edges.jpg,0,left_most_index
1,21,image_group_21_frame_1897.0.jpg,image_group_21_frame_1897.0-edges.jpg,1,left_most_index
2,21,image_group_21_frame_1901.0.jpg,image_group_21_frame_1901.0-edges.jpg,0,right_most_index
3,21,image_group_21_frame_1898.0.jpg,image_group_21_frame_1898.0-edges.jpg,1,right_most_index
0,22,image_group_22_frame_1952.0.jpg,image_group_22_frame_1952.0-edges.jpg,0,left_most_index
1,22,image_group_22_frame_1954.0.jpg,image_group_22_frame_1954.0-edges.jpg,1,left_most_index
2,22,image_group_22_frame_1955.0.jpg,image_group_22_frame_1955.0-edges.jpg,0,right_most_index
3,22,image_group_22_frame_1953.0.jpg,image_group_22_frame_1953.0-edges.jpg,1,right_most_index
0,23,image_group_23_frame_1999.0.jpg,image_group_23_frame_1999.0-edges.jpg,0,left_most_index
1,23,image_group_23_frame_2001.0.jpg,image_group_23_frame_2001.0-edges.jpg,1,left_most_index
2,23,image_group_23_frame_2007.0.jpg,image_group_23_frame_2007.0-edges.jpg,0,right_most_index
3,23,image_group_23_frame_2005.0.jpg,image_group_23_frame_2005.0-edges.jpg,1,right_most_index
0,24,image_group_24_frame_2249.0.jpg,image_group_24_frame_2249.0-edges.jpg,0,left_most_index
1,24,image_group_24_frame_2251.0.jpg,image_group_24_frame_2251.0-edges.jpg,1,left_most_index
2,24,image_group_24_frame_2259.0.jpg,image_group_24_frame_2259.0-edges.jpg,0,right_most_index
3,24,image_group_24_frame_2256.0.jpg,image_group_24_frame_2256.0-edges.jpg,1,right_most_index
0,25,image_group_25_frame_2303.0.jpg,image_group_25_frame_2303.0-edges.jpg,0,left_most_index
1,25,image_group_25_frame_2305.0.jpg,image_group_25_frame_2305.0-edges.jpg,1,left_most_index
2,25,image_group_25_frame_2313.0.jpg,image_group_25_frame_2313.0-edges.jpg,0,right_most_index
3,25,image_group_25_frame_2308.0.jpg,image_group_25_frame_2308.0-edges.jpg,1,right_most_index
0,26,image_group_26_frame_2357.0.jpg,image_group_26_frame_2357.0-edges.jpg,0,left_most_index
1,26,image_group_26_frame_2359.0.jpg,image_group_26_frame_2359.0-edges.jpg,1,left_most_index
2,26,image_group_26_frame_2367.0.jpg,image_group_26_frame_2367.0-edges.jpg,0,right_most_index
3,26,image_group_26_frame_2362.0.jpg,image_group_26_frame_2362.0-edges.jpg,1,right_most_index
