,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\10H-10L\image_group_0_frame_193.0.jpg,0,0.0,193.0,874,929,3,5
1,content\data\images\10H-10L\image_group_0_frame_194.0.jpg,0,0.0,194.0,904,1065,4,2
2,content\data\images\10H-10L\image_group_0_frame_198.0.jpg,0,0.0,198.0,836,955,1,4
3,content\data\images\10H-10L\image_group_0_frame_199.0.jpg,0,0.0,199.0,904,1073,5,1
4,content\data\images\10H-10L\image_group_0_frame_202.0.jpg,0,0.0,202.0,835,905,0,6
5,content\data\images\10H-10L\image_group_0_frame_203.0.jpg,0,0.0,203.0,844,985,2,3
6,content\data\images\10H-10L\image_group_0_frame_204.0.jpg,0,0.0,204.0,905,1075,6,0
0,content\data\images\10H-10L\image_group_1_frame_249.0.jpg,1,212.0,249.0,831,905,1,6
1,content\data\images\10H-10L\image_group_1_frame_250.0.jpg,1,212.0,250.0,862,1027,3,3
2,content\data\images\10H-10L\image_group_1_frame_251.0.jpg,1,212.0,251.0,905,1081,5,1
3,content\data\images\10H-10L\image_group_1_frame_254.0.jpg,1,212.0,254.0,830,907,0,4
4,content\data\images\10H-10L\image_group_1_frame_255.0.jpg,1,212.0,255.0,893,1055,4,2
5,content\data\images\10H-10L\image_group_1_frame_256.0.jpg,1,212.0,256.0,905,1081,6,0
6,content\data\images\10H-10L\image_group_1_frame_259.0.jpg,1,212.0,259.0,831,906,2,5
0,content\data\images\10H-10L\image_group_2_frame_301.0.jpg,2,265.0,301.0,905,999,4,5
1,content\data\images\10H-10L\image_group_2_frame_302.0.jpg,2,265.0,302.0,905,1079,5,2
2,content\data\images\10H-10L\image_group_2_frame_305.0.jpg,2,265.0,305.0,832,905,0,7
3,content\data\images\10H-10L\image_group_2_frame_306.0.jpg,2,265.0,306.0,872,1037,2,4
4,content\data\images\10H-10L\image_group_2_frame_307.0.jpg,2,265.0,307.0,905,1079,6,1
5,content\data\images\10H-10L\image_group_2_frame_310.0.jpg,2,265.0,310.0,832,919,1,6
6,content\data\images\10H-10L\image_group_2_frame_311.0.jpg,2,265.0,311.0,904,1063,3,3
7,content\data\images\10H-10L\image_group_2_frame_312.0.jpg,2,265.0,312.0,905,1079,7,0
