,group_id,original_img,edge_img,group_order,column
0,0,image_group_0_frame_178.0.jpg,image_group_0_frame_178.0-edges.jpg,0,left_most_index
1,0,image_group_0_frame_183.0.jpg,image_group_0_frame_183.0-edges.jpg,1,left_most_index
2,0,image_group_0_frame_185.0.jpg,image_group_0_frame_185.0-edges.jpg,0,right_most_index
3,0,image_group_0_frame_180.0.jpg,image_group_0_frame_180.0-edges.jpg,1,right_most_index
0,1,image_group_1_frame_230.0.jpg,image_group_1_frame_230.0-edges.jpg,0,left_most_index
1,1,image_group_1_frame_234.0.jpg,image_group_1_frame_234.0-edges.jpg,1,left_most_index
2,1,image_group_1_frame_236.0.jpg,image_group_1_frame_236.0-edges.jpg,0,right_most_index
3,1,image_group_1_frame_231.0.jpg,image_group_1_frame_231.0-edges.jpg,1,right_most_index
0,2,image_group_2_frame_290.0.jpg,image_group_2_frame_290.0-edges.jpg,0,left_most_index
1,2,image_group_2_frame_286.0.jpg,image_group_2_frame_286.0-edges.jpg,1,left_most_index
2,2,image_group_2_frame_292.0.jpg,image_group_2_frame_292.0-edges.jpg,0,right_most_index
3,2,image_group_2_frame_287.0.jpg,image_group_2_frame_287.0-edges.jpg,1,right_most_index
0,3,image_group_3_frame_341.0.jpg,image_group_3_frame_341.0-edges.jpg,0,left_most_index
1,3,image_group_3_frame_346.0.jpg,image_group_3_frame_346.0-edges.jpg,1,left_most_index
2,3,image_group_3_frame_348.0.jpg,image_group_3_frame_348.0-edges.jpg,0,right_most_index
3,3,image_group_3_frame_343.0.jpg,image_group_3_frame_343.0-edges.jpg,1,right_most_index
0,4,image_group_4_frame_589.0.jpg,image_group_4_frame_589.0-edges.jpg,0,left_most_index
1,4,image_group_4_frame_593.0.jpg,image_group_4_frame_593.0-edges.jpg,1,left_most_index
2,4,image_group_4_frame_594.0.jpg,image_group_4_frame_594.0-edges.jpg,0,right_most_index
3,4,image_group_4_frame_590.0.jpg,image_group_4_frame_590.0-edges.jpg,1,right_most_index
0,5,image_group_5_frame_644.0.jpg,image_group_5_frame_644.0-edges.jpg,0,left_most_index
1,5,image_group_5_frame_648.0.jpg,image_group_5_frame_648.0-edges.jpg,1,left_most_index
2,5,image_group_5_frame_649.0.jpg,image_group_5_frame_649.0-edges.jpg,0,right_most_index
3,5,image_group_5_frame_645.0.jpg,image_group_5_frame_645.0-edges.jpg,1,right_most_index
0,6,image_group_6_frame_694.0.jpg,image_group_6_frame_694.0-edges.jpg,0,left_most_index
1,6,image_group_6_frame_698.0.jpg,image_group_6_frame_698.0-edges.jpg,1,left_most_index
2,6,image_group_6_frame_704.0.jpg,image_group_6_frame_704.0-edges.jpg,0,right_most_index
3,6,image_group_6_frame_700.0.jpg,image_group_6_frame_700.0-edges.jpg,1,right_most_index
0,7,image_group_7_frame_749.0.jpg,image_group_7_frame_749.0-edges.jpg,0,left_most_index
1,7,image_group_7_frame_753.0.jpg,image_group_7_frame_753.0-edges.jpg,1,left_most_index
2,7,image_group_7_frame_758.0.jpg,image_group_7_frame_758.0-edges.jpg,0,right_most_index
3,7,image_group_7_frame_754.0.jpg,image_group_7_frame_754.0-edges.jpg,1,right_most_index
0,8,image_group_8_frame_1083.0.jpg,image_group_8_frame_1083.0-edges.jpg,0,left_most_index
1,8,image_group_8_frame_1087.0.jpg,image_group_8_frame_1087.0-edges.jpg,1,left_most_index
2,8,image_group_8_frame_1091.0.jpg,image_group_8_frame_1091.0-edges.jpg,0,right_most_index
3,8,image_group_8_frame_1088.0.jpg,image_group_8_frame_1088.0-edges.jpg,1,right_most_index
