,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\25H-35L\image_group_0_frame_175.0.jpg,0,0.0,175.0,988,1288,4,2
1,content\data\images\25H-35L\image_group_0_frame_178.0.jpg,0,0.0,178.0,613,815,0,6
2,content\data\images\25H-35L\image_group_0_frame_179.0.jpg,0,0.0,179.0,654,1127,2,4
3,content\data\images\25H-35L\image_group_0_frame_180.0.jpg,0,0.0,180.0,990,1289,5,1
4,content\data\images\25H-35L\image_group_0_frame_183.0.jpg,0,0.0,183.0,613,872,1,5
5,content\data\images\25H-35L\image_group_0_frame_184.0.jpg,0,0.0,184.0,718,1211,3,3
6,content\data\images\25H-35L\image_group_0_frame_185.0.jpg,0,0.0,185.0,1020,1289,6,0
0,content\data\images\25H-35L\image_group_1_frame_230.0.jpg,1,193.0,230.0,608,981,0,5
1,content\data\images\25H-35L\image_group_1_frame_231.0.jpg,1,193.0,231.0,952,1295,5,1
2,content\data\images\25H-35L\image_group_1_frame_234.0.jpg,1,193.0,234.0,608,723,1,7
3,content\data\images\25H-35L\image_group_1_frame_235.0.jpg,1,193.0,235.0,634,1101,3,4
4,content\data\images\25H-35L\image_group_1_frame_236.0.jpg,1,193.0,236.0,998,1295,6,0
5,content\data\images\25H-35L\image_group_1_frame_239.0.jpg,1,193.0,239.0,608,873,2,6
6,content\data\images\25H-35L\image_group_1_frame_240.0.jpg,1,193.0,240.0,705,1207,4,3
7,content\data\images\25H-35L\image_group_1_frame_241.0.jpg,1,193.0,241.0,1035,1261,7,2
0,content\data\images\25H-35L\image_group_2_frame_286.0.jpg,2,249.0,286.0,599,1035,1,3
1,content\data\images\25H-35L\image_group_2_frame_287.0.jpg,2,249.0,287.0,968,1305,3,1
2,content\data\images\25H-35L\image_group_2_frame_290.0.jpg,2,249.0,290.0,594,761,0,4
3,content\data\images\25H-35L\image_group_2_frame_291.0.jpg,2,249.0,291.0,643,1161,2,2
4,content\data\images\25H-35L\image_group_2_frame_292.0.jpg,2,249.0,292.0,1017,1305,4,0
0,content\data\images\25H-35L\image_group_3_frame_337.0.jpg,3,301.0,337.0,618,989,2,5
1,content\data\images\25H-35L\image_group_3_frame_338.0.jpg,3,301.0,338.0,934,1301,5,2
2,content\data\images\25H-35L\image_group_3_frame_341.0.jpg,3,301.0,341.0,600,719,0,7
3,content\data\images\25H-35L\image_group_3_frame_342.0.jpg,3,301.0,342.0,630,1121,3,4
4,content\data\images\25H-35L\image_group_3_frame_343.0.jpg,3,301.0,343.0,986,1301,6,1
5,content\data\images\25H-35L\image_group_3_frame_346.0.jpg,3,301.0,346.0,600,854,1,6
6,content\data\images\25H-35L\image_group_3_frame_347.0.jpg,3,301.0,347.0,709,1229,4,3
7,content\data\images\25H-35L\image_group_3_frame_348.0.jpg,3,301.0,348.0,1033,1301,7,0
0,content\data\images\25H-35L\image_group_4_frame_586.0.jpg,4,355.0,586.0,954,1291,6,2
1,content\data\images\25H-35L\image_group_4_frame_589.0.jpg,4,355.0,589.0,612,937,0,6
2,content\data\images\25H-35L\image_group_4_frame_590.0.jpg,4,355.0,590.0,890,1291,3,1
3,content\data\images\25H-35L\image_group_4_frame_593.0.jpg,4,355.0,593.0,612,937,1,5
4,content\data\images\25H-35L\image_group_4_frame_594.0.jpg,4,355.0,594.0,890,1291,4,0
5,content\data\images\25H-35L\image_group_4_frame_597.0.jpg,4,355.0,597.0,612,939,2,4
6,content\data\images\25H-35L\image_group_4_frame_598.0.jpg,4,355.0,598.0,893,1003,5,3
0,content\data\images\25H-35L\image_group_5_frame_640.0.jpg,5,605.0,640.0,607,1021,3,5
1,content\data\images\25H-35L\image_group_5_frame_641.0.jpg,5,605.0,641.0,968,1297,4,2
2,content\data\images\25H-35L\image_group_5_frame_644.0.jpg,5,605.0,644.0,606,1031,0,4
3,content\data\images\25H-35L\image_group_5_frame_645.0.jpg,5,605.0,645.0,972,1297,5,1
4,content\data\images\25H-35L\image_group_5_frame_648.0.jpg,5,605.0,648.0,606,1045,1,3
5,content\data\images\25H-35L\image_group_5_frame_649.0.jpg,5,605.0,649.0,976,1297,6,0
6,content\data\images\25H-35L\image_group_5_frame_652.0.jpg,5,605.0,652.0,606,717,2,6
0,content\data\images\25H-35L\image_group_6_frame_694.0.jpg,6,660.0,694.0,591,725,0,8
1,content\data\images\25H-35L\image_group_6_frame_695.0.jpg,6,660.0,695.0,616,1205,3,5
2,content\data\images\25H-35L\image_group_6_frame_696.0.jpg,6,660.0,696.0,1037,1309,6,2
3,content\data\images\25H-35L\image_group_6_frame_698.0.jpg,6,660.0,698.0,591,925,1,6
4,content\data\images\25H-35L\image_group_6_frame_699.0.jpg,6,660.0,699.0,622,1215,4,4
5,content\data\images\25H-35L\image_group_6_frame_700.0.jpg,6,660.0,700.0,1041,1309,7,1
6,content\data\images\25H-35L\image_group_6_frame_702.0.jpg,6,660.0,702.0,591,736,2,7
7,content\data\images\25H-35L\image_group_6_frame_703.0.jpg,6,660.0,703.0,629,1227,5,3
8,content\data\images\25H-35L\image_group_6_frame_704.0.jpg,6,660.0,704.0,1045,1309,8,0
0,content\data\images\25H-35L\image_group_7_frame_749.0.jpg,7,712.0,749.0,598,867,0,5
1,content\data\images\25H-35L\image_group_7_frame_750.0.jpg,7,712.0,750.0,749,1295,3,2
2,content\data\images\25H-35L\image_group_7_frame_753.0.jpg,7,712.0,753.0,598,871,1,4
3,content\data\images\25H-35L\image_group_7_frame_754.0.jpg,7,712.0,754.0,766,1299,4,1
4,content\data\images\25H-35L\image_group_7_frame_757.0.jpg,7,712.0,757.0,598,879,2,3
5,content\data\images\25H-35L\image_group_7_frame_758.0.jpg,7,712.0,758.0,783,1301,5,0
0,content\data\images\25H-35L\image_group_8_frame_1083.0.jpg,8,766.0,1083.0,610,795,0,6
1,content\data\images\25H-35L\image_group_8_frame_1084.0.jpg,8,766.0,1084.0,660,1271,3,3
2,content\data\images\25H-35L\image_group_8_frame_1085.0.jpg,8,766.0,1085.0,1041,1291,6,2
3,content\data\images\25H-35L\image_group_8_frame_1087.0.jpg,8,766.0,1087.0,610,1065,1,4
4,content\data\images\25H-35L\image_group_8_frame_1088.0.jpg,8,766.0,1088.0,965,1291,5,1
5,content\data\images\25H-35L\image_group_8_frame_1090.0.jpg,8,766.0,1090.0,610,879,2,5
6,content\data\images\25H-35L\image_group_8_frame_1091.0.jpg,8,766.0,1091.0,748,1291,4,0
0,content\data\images\25H-35L\image_group_9_frame_1137.0.jpg,9,1100.0,1137.0,604,911,0,5
1,content\data\images\25H-35L\image_group_9_frame_1138.0.jpg,9,1100.0,1138.0,826,1297,5,2
2,content\data\images\25H-35L\image_group_9_frame_1140.0.jpg,9,1100.0,1140.0,604,728,1,6
