,image_name,group_id,group_start_frame_idx,frame_idx,left_most_column,right_most_column,left_most_index,right_most_index
0,content\data\images\15H-20L\image_group_0_frame_157.0.jpg,0,0.0,157.0,735,1023,2,5
1,content\data\images\15H-20L\image_group_0_frame_158.0.jpg,0,0.0,158.0,912,1193,5,2
2,content\data\images\15H-20L\image_group_0_frame_161.0.jpg,0,0.0,161.0,730,913,0,7
3,content\data\images\15H-20L\image_group_0_frame_162.0.jpg,0,0.0,162.0,752,1062,3,4
4,content\data\images\15H-20L\image_group_0_frame_163.0.jpg,0,0.0,163.0,912,1193,6,1
5,content\data\images\15H-20L\image_group_0_frame_166.0.jpg,0,0.0,166.0,730,913,1,6
6,content\data\images\15H-20L\image_group_0_frame_167.0.jpg,0,0.0,167.0,784,1103,4,3
7,content\data\images\15H-20L\image_group_0_frame_168.0.jpg,0,0.0,168.0,912,1193,7,0
0,content\data\images\15H-20L\image_group_1_frame_213.0.jpg,1,176.0,213.0,729,913,1,5
1,content\data\images\15H-20L\image_group_1_frame_214.0.jpg,1,176.0,214.0,840,1157,2,3
2,content\data\images\15H-20L\image_group_1_frame_215.0.jpg,1,176.0,215.0,912,1193,4,1
3,content\data\images\15H-20L\image_group_1_frame_218.0.jpg,1,176.0,218.0,728,935,0,4
4,content\data\images\15H-20L\image_group_1_frame_219.0.jpg,1,176.0,219.0,910,1185,3,2
5,content\data\images\15H-20L\image_group_1_frame_220.0.jpg,1,176.0,220.0,912,1193,5,0
0,content\data\images\15H-20L\image_group_2_frame_264.0.jpg,2,228.0,264.0,733,913,2,8
1,content\data\images\15H-20L\image_group_2_frame_265.0.jpg,2,228.0,265.0,746,1039,3,5
2,content\data\images\15H-20L\image_group_2_frame_266.0.jpg,2,228.0,266.0,912,1195,6,2
3,content\data\images\15H-20L\image_group_2_frame_269.0.jpg,2,228.0,269.0,728,913,0,7
4,content\data\images\15H-20L\image_group_2_frame_270.0.jpg,2,228.0,270.0,782,1105,4,4
5,content\data\images\15H-20L\image_group_2_frame_271.0.jpg,2,228.0,271.0,912,1195,7,1
6,content\data\images\15H-20L\image_group_2_frame_274.0.jpg,2,228.0,274.0,728,913,1,6
7,content\data\images\15H-20L\image_group_2_frame_275.0.jpg,2,228.0,275.0,838,1153,5,3
8,content\data\images\15H-20L\image_group_2_frame_276.0.jpg,2,228.0,276.0,912,1195,8,0
0,content\data\images\15H-20L\image_group_3_frame_321.0.jpg,3,283.0,321.0,728,955,0,3
1,content\data\images\15H-20L\image_group_3_frame_322.0.jpg,3,283.0,322.0,912,1193,4,1
2,content\data\images\15H-20L\image_group_3_frame_325.0.jpg,3,283.0,325.0,728,913,1,5
3,content\data\images\15H-20L\image_group_3_frame_326.0.jpg,3,283.0,326.0,741,1027,3,2
4,content\data\images\15H-20L\image_group_3_frame_327.0.jpg,3,283.0,327.0,912,1193,5,0
5,content\data\images\15H-20L\image_group_3_frame_330.0.jpg,3,283.0,330.0,728,913,2,4
0,content\data\images\15H-20L\image_group_4_frame_509.0.jpg,4,336.0,509.0,730,1028,0,3
1,content\data\images\15H-20L\image_group_4_frame_510.0.jpg,4,336.0,510.0,912,1193,3,2
2,content\data\images\15H-20L\image_group_4_frame_513.0.jpg,4,336.0,513.0,730,1017,1,4
3,content\data\images\15H-20L\image_group_4_frame_514.0.jpg,4,336.0,514.0,912,1193,4,1
4,content\data\images\15H-20L\image_group_4_frame_517.0.jpg,4,336.0,517.0,730,985,2,5
5,content\data\images\15H-20L\image_group_4_frame_518.0.jpg,4,336.0,518.0,912,1193,5,0
0,content\data\images\15H-20L\image_group_5_frame_561.0.jpg,5,525.0,561.0,913,1193,6,1
1,content\data\images\15H-20L\image_group_5_frame_564.0.jpg,5,525.0,564.0,728,915,0,4
2,content\data\images\15H-20L\image_group_5_frame_565.0.jpg,5,525.0,565.0,871,1193,5,0
3,content\data\images\15H-20L\image_group_5_frame_568.0.jpg,5,525.0,568.0,728,913,1,6
4,content\data\images\15H-20L\image_group_5_frame_569.0.jpg,5,525.0,569.0,867,1191,4,2
5,content\data\images\15H-20L\image_group_5_frame_572.0.jpg,5,525.0,572.0,728,913,2,5
6,content\data\images\15H-20L\image_group_5_frame_573.0.jpg,5,525.0,573.0,863,1035,3,3
0,content\data\images\15H-20L\image_group_6_frame_615.0.jpg,6,580.0,615.0,728,913,0,5
1,content\data\images\15H-20L\image_group_6_frame_616.0.jpg,6,580.0,616.0,860,1191,3,2
2,content\data\images\15H-20L\image_group_6_frame_619.0.jpg,6,580.0,619.0,728,913,1,4
3,content\data\images\15H-20L\image_group_6_frame_620.0.jpg,6,580.0,620.0,862,1191,4,1
4,content\data\images\15H-20L\image_group_6_frame_623.0.jpg,6,580.0,623.0,728,913,2,3
5,content\data\images\15H-20L\image_group_6_frame_624.0.jpg,6,580.0,624.0,864,1191,5,0
0,content\data\images\15H-20L\image_group_7_frame_670.0.jpg,7,635.0,670.0,728,921,0,5
1,content\data\images\15H-20L\image_group_7_frame_671.0.jpg,7,635.0,671.0,887,1193,3,2
2,content\data\images\15H-20L\image_group_7_frame_674.0.jpg,7,635.0,674.0,728,923,1,4
3,content\data\images\15H-20L\image_group_7_frame_675.0.jpg,7,635.0,675.0,890,1194,4,1
4,content\data\images\15H-20L\image_group_7_frame_678.0.jpg,7,635.0,678.0,728,923,2,3
5,content\data\images\15H-20L\image_group_7_frame_679.0.jpg,7,635.0,679.0,891,1195,5,0
0,content\data\images\15H-20L\image_group_8_frame_906.0.jpg,8,687.0,906.0,913,1195,6,2
1,content\data\images\15H-20L\image_group_8_frame_908.0.jpg,8,687.0,908.0,730,913,0,6
2,content\data\images\15H-20L\image_group_8_frame_909.0.jpg,8,687.0,909.0,825,1193,3,3
3,content\data\images\15H-20L\image_group_8_frame_912.0.jpg,8,687.0,912.0,730,1089,1,4
4,content\data\images\15H-20L\image_group_8_frame_913.0.jpg,8,687.0,913.0,912,1195,5,1
5,content\data\images\15H-20L\image_group_8_frame_915.0.jpg,8,687.0,915.0,730,915,2,5
6,content\data\images\15H-20L\image_group_8_frame_916.0.jpg,8,687.0,916.0,876,1195,4,0
0,content\data\images\15H-20L\image_group_9_frame_960.0.jpg,9,925.0,960.0,913,1195,6,2
1,content\data\images\15H-20L\image_group_9_frame_962.0.jpg,9,925.0,962.0,728,913,0,6
2,content\data\images\15H-20L\image_group_9_frame_963.0.jpg,9,925.0,963.0,802,1191,3,3
3,content\data\images\15H-20L\image_group_9_frame_966.0.jpg,9,925.0,966.0,728,1073,1,4
4,content\data\images\15H-20L\image_group_9_frame_967.0.jpg,9,925.0,967.0,912,1196,5,1
5,content\data\images\15H-20L\image_group_9_frame_969.0.jpg,9,925.0,969.0,728,913,2,5
6,content\data\images\15H-20L\image_group_9_frame_970.0.jpg,9,925.0,970.0,862,1197,4,0
0,content\data\images\15H-20L\image_group_10_frame_1014.0.jpg,10,979.0,1014.0,913,1197,5,2
1,content\data\images\15H-20L\image_group_10_frame_1016.0.jpg,10,979.0,1016.0,728,913,0,6
2,content\data\images\15H-20L\image_group_10_frame_1017.0.jpg,10,979.0,1017.0,835,1195,3,3
3,content\data\images\15H-20L\image_group_10_frame_1020.0.jpg,10,979.0,1020.0,730,1113,2,4
4,content\data\images\15H-20L\image_group_10_frame_1021.0.jpg,10,979.0,1021.0,913,1197,6,1
5,content\data\images\15H-20L\image_group_10_frame_1023.0.jpg,10,979.0,1023.0,728,931,1,5
