,group_id,original_img,edge_img,group_order,column
0,0,image_group_0_frame_161.0.jpg,image_group_0_frame_161.0-edges.jpg,0,left_most_index
1,0,image_group_0_frame_166.0.jpg,image_group_0_frame_166.0-edges.jpg,1,left_most_index
2,0,image_group_0_frame_168.0.jpg,image_group_0_frame_168.0-edges.jpg,0,right_most_index
3,0,image_group_0_frame_163.0.jpg,image_group_0_frame_163.0-edges.jpg,1,right_most_index
0,1,image_group_1_frame_218.0.jpg,image_group_1_frame_218.0-edges.jpg,0,left_most_index
1,1,image_group_1_frame_213.0.jpg,image_group_1_frame_213.0-edges.jpg,1,left_most_index
2,1,image_group_1_frame_220.0.jpg,image_group_1_frame_220.0-edges.jpg,0,right_most_index
3,1,image_group_1_frame_215.0.jpg,image_group_1_frame_215.0-edges.jpg,1,right_most_index
0,2,image_group_2_frame_269.0.jpg,image_group_2_frame_269.0-edges.jpg,0,left_most_index
1,2,image_group_2_frame_274.0.jpg,image_group_2_frame_274.0-edges.jpg,1,left_most_index
2,2,image_group_2_frame_276.0.jpg,image_group_2_frame_276.0-edges.jpg,0,right_most_index
3,2,image_group_2_frame_271.0.jpg,image_group_2_frame_271.0-edges.jpg,1,right_most_index
0,3,image_group_3_frame_321.0.jpg,image_group_3_frame_321.0-edges.jpg,0,left_most_index
1,3,image_group_3_frame_325.0.jpg,image_group_3_frame_325.0-edges.jpg,1,left_most_index
2,3,image_group_3_frame_327.0.jpg,image_group_3_frame_327.0-edges.jpg,0,right_most_index
3,3,image_group_3_frame_322.0.jpg,image_group_3_frame_322.0-edges.jpg,1,right_most_index
0,4,image_group_4_frame_509.0.jpg,image_group_4_frame_509.0-edges.jpg,0,left_most_index
1,4,image_group_4_frame_513.0.jpg,image_group_4_frame_513.0-edges.jpg,1,left_most_index
2,4,image_group_4_frame_518.0.jpg,image_group_4_frame_518.0-edges.jpg,0,right_most_index
3,4,image_group_4_frame_514.0.jpg,image_group_4_frame_514.0-edges.jpg,1,right_most_index
0,5,image_group_5_frame_564.0.jpg,image_group_5_frame_564.0-edges.jpg,0,left_most_index
1,5,image_group_5_frame_568.0.jpg,image_group_5_frame_568.0-edges.jpg,1,left_most_index
2,5,image_group_5_frame_565.0.jpg,image_group_5_frame_565.0-edges.jpg,0,right_most_index
3,5,image_group_5_frame_561.0.jpg,image_group_5_frame_561.0-edges.jpg,1,right_most_index
0,6,image_group_6_frame_615.0.jpg,image_group_6_frame_615.0-edges.jpg,0,left_most_index
1,6,image_group_6_frame_619.0.jpg,image_group_6_frame_619.0-edges.jpg,1,left_most_index
2,6,image_group_6_frame_624.0.jpg,image_group_6_frame_624.0-edges.jpg,0,right_most_index
3,6,image_group_6_frame_620.0.jpg,image_group_6_frame_620.0-edges.jpg,1,right_most_index
0,7,image_group_7_frame_670.0.jpg,image_group_7_frame_670.0-edges.jpg,0,left_most_index
1,7,image_group_7_frame_674.0.jpg,image_group_7_frame_674.0-edges.jpg,1,left_most_index
2,7,image_group_7_frame_679.0.jpg,image_group_7_frame_679.0-edges.jpg,0,right_most_index
3,7,image_group_7_frame_675.0.jpg,image_group_7_frame_675.0-edges.jpg,1,right_most_index
